"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
tender_309962/1140995,Contract,DESNZ,Awarded,2022-11-08T09:41:50Z,"PS22219 -  Evaluation of the Phase 3 of the Public Sector Decarbonisation Scheme (PSDS)","***** THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION *****

This procurement is being concluded following a mini competition under the CCS DPS RM6126

Brief Description of Requirement 
Project to conduct an evaluation of the Phase 3 of the Public Sector Decarbonisation Scheme (PSDS), also including Phase 3 LCSF. It will deliver a process, impact and economic evaluation of Phase 3 PSDS and LCSF. Work will also be conducted to carry out light touch impact and cost-effectiveness analysis of Phase 2 PSDS.",,,"Any region","73200000 ",,professionalservices@uksbs.co.uk,"Polaris House, North Star House",,Swindon,"SN2 1FL",England,,,,,,26/10/2022,30/09/2026,05/10/2022,NO,,Yes,No,No,Services,734130,,20/10/2022,734130,"[WINNING MOVES LIMITED|UNITED KINGDOM|NONE_OTHER||No|No]",,26/10/2022,30/09/2026,"CallOffFromDynamicPurchasingSystem ",,11:00
BIP850380998,Contract,"BIP SOLUTIONS LIMITED",Awarded,2024-03-21T16:23:37Z,"The Supply of a Maldi-TOF Mass Spectrometer System(s)","The Microbiology Laboratory are currently looking to purchase a MALDI-TOF instrument(s) to replace our existing confirmation procedure for all of the laboratories UKAS accredited membrane filtration blue book methods in our Edinburgh and Inverness laboratories.",,,Scotland,"38433100 ",,nicholas.green@scottishwater.co.uk,"6 Buchanan Gate",,Glasgow,"G33 6FB",UK,'+447342069530,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=850380998 ",,30/03/2022,29/03/2029,29/03/2022,NO,,Yes,Yes,No,Products,480000,,19/10/2022,480000,"[Bruker UK Limited|Banner Lane
        Coventry
        CV4 9GH|NONE||No|No]",,30/03/2022,29/03/2029,"Other Negotiated procedure with prior call for competition",,00:00
BIP829980144,Contract,"BIP SOLUTIONS LIMITED",Awarded,2024-03-21T15:42:33Z,"Specialist Wellbeing & Resilience Skills Development","This procurement seeks to source long term partners who meet Scottish Water's service requirements and provide great value going forward concerning the provision of Specialist Wellbeing & Resilience Training.",,,Scotland,"80510000 ",,struan.macara@scottishwater.co.uk,"6 Buchanan Gate",,Glasgow,"G33 6FB",UK,'+447880460643,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=829980144 ",,01/08/2022,31/07/2030,31/07/2022,NO,,Yes,Yes,No,Services,1250000,,24/10/2022,1250000,"[Let's Get Healthy Ltd|Millennium House
        49a High Street
        Yarm
        TS15 9BH|NONE||No|No][Mental Health in Business Ltd|WhiteLeaf Business Centre
        11 Little Balmer
        Buckingham
        MK18 1TF|NONE||No|No][Vita Health Group Ltd|14 Woolhall Street
        Bury
        St Edmunds
        Suffolk
        IP33 1LA|NONE||No|No]",,01/08/2022,31/07/2030,"Other Negotiated procedure with prior call for competition",,00:00
tender_304746/1324398,Contract,DESNZ,Awarded,2024-03-15T14:00:49Z,"PS22146 - Green Gas Support Scheme","***** THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION *****

This procurement is being concluded following a mini competition under the CCS RM6126 Research & Insights DPS.

Brief Description of Requirement

The Green Gas Support Scheme (GGSS) is a UK Government scheme designed to 
reduce the GHG emissions intensity of the UK's gas supply. Tariff payments 
incentivise the development of anaerobic digestion (AD) plants, that inject biomethane 
into the grid. Tariffs are ongoing payments paid quarterly which are based on the 
volume of biomethane injected. The GGSS is funded by a new Green Gas Levy 
(GGL) on licensed fossil fuel gas suppliers in Great Britain. 

Previously, biomethane (along with many other technologies) was supported by the 
Non-Domestic Renewable Heat Incentive (ND RHI). Registered producers of 
biomethane received quarterly tariff payments from the government over 20 years, 
based on the volume of biomethane injected into the gas grid.",,,"Any region","73000000 ",,professionalservices@uksbs.co.uk,"Polaris House, North Star Avenue",,Swindon,"SN2 1FF",England,,,,,,10/10/2022,31/03/2026,24/08/2022,NO,,Yes,No,No,Services,0,537000,22/10/2022,479201.5,"[PSM UK Consulting LLP|Number One, Lanyon Quay, Belfast, County Antrim,  BT1 3LG|NONE_OTHER||No|No]",,10/10/2022,31/03/2026,"CallOffFromDynamicPurchasingSystem ",,14:00
PLYM001-DN715749-10016079,Contract,"Plymouth City Council",Awarded,2024-03-14T17:14:56Z,"Principle Designer and Supervisor Services, Central Park SUDS","Principle Designer and Supervisor Services, Central Park SUDS",,,England,"79415200 ",,procurement@plymouth.gov.uk,"Ballard House","West Hoe Road",Plymouth,"PL1 3BJ","United Kingdom",01752668000,http://www.plymouth.gov.uk/,,,,01/11/2022,31/01/2024,30/09/2022,NO,,Yes,No,No,Services,49200,49200,19/10/2022,49200,"[Currie & Brown (UK) Limited|EC1N 2PB|NONE||No|No]",,01/11/2022,31/01/2024,"Other ",,12:00
WDH001-DN626996-34744061,Contract,"Wakefield and District Housing Limited",Awarded,2024-03-07T13:47:53Z,"Decorator Paint and Sundries Inc Wallpaper","Decorator Paint and Sundries to be used by WDH Paint Operatives and appointed contractors.",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West","45000000 45442100 45442110 ","Andrew Smith",andrewsmith@wdh.co.uk,"Merefield House","Whistler Drive",Castleford,"WF10 5HX","United Kingdom","'+44 1977788654",http://www.wdh.co.uk,,,,31/10/2022,31/10/2023,01/09/2022,NO,,Yes,Yes,No,Services,68500,,19/10/2022,274000,"[Imperial Chemicals Ltd t/a ICI Paints AkzoNobel|The AkzoNobel Building
Wrexham Road
Slough
Berkshire
SL2 5DS|NONE||No|No]",,31/10/2022,31/10/2026,"Other ",,12:00
DN692629,Contract,"Hartlepool Borough Council",Awarded,2024-01-31T14:01:31Z,"Solent RIB Charter - Tall Ships","Solent RIB Charter - Tall Ships",,"TS24 8AY",,"34511000 ","Emma Armstrong",emma.armstrong@hartlepool.gov.uk,"Civic Centre,Victoria Road",,HARTLEPOOL,TS248AY,England,"01429 523238",,,,,07/07/2023,11/07/2023,19/10/2022,NO,,No,No,No,Services,45456,,19/10/2022,45456,"[Solent Rib Charter|Unit 6 Dell Buildings
Milford Road,
Lymington
Hants
SO41 0ED|COMPANIES_HOUSE|04198160|No|No]",,07/07/2023,11/07/2023,"Other Exemption to contract procedure rules",,14:00
tender_319330/1146584,Contract,"Department for Education",Awarded,2022-11-15T14:33:10Z,"con_16606 CR: PPM Resource","Project management of the reform programme within Children's Social Care, this will include but is not limited to:
Managing the 155 recommendations to ensure they are prioritised, agreed, planned, sequenced and risk adjusted
Build on the maturity of the portfolio approach through packages of activity covering further 
iterations of the design, implementation, testing and scaling of the recommendation portfolio 
Deliver capability through skills transfer to support with the departments aim to bring in staff with PPM skills for delivery",,,"Any region","85300000 ","Rose Howell",Beth.Lord@education.gov.uk,"Sanctury Buildings",,London,"SW1P 3BT",England,,,"664_21 - Consultancy Services - Call-Off Terms PPM Resource (1)REDACTEDFINAL (2).pdf ",,,24/10/2022,31/03/2023,21/10/2022,NO,,No,No,No,Services,217800,,24/10/2022,217800,"[20 ST THOMAS STREET RUNWAY EAST (SECOND  FLOOR)|20 ST THOMAS STREET RUNWAY EAST (SECOND  FLOOR)|NONE_OTHER||No|No]",,24/10/2022,31/03/2023,"CallOffFromFrameworkAgreement ",,00:00
tender_308150/1295670,Contract,"Department for International Trade",Awarded,2023-12-19T16:05:00Z,"DIT Digital Design Support Development Team","The Department of Business and Trade have uplifted the existing contract.",,,London,"73000000 ","Department for Business and Trade",commercialddat@businessandtrade.gov.uk,"Old Admiralty Building",,London,"SW1A 2AY",England,,,"redacted - CCN004 - Project_1782 - DIT Digital Design Support Development Team (1)_0001_Redacted.pdf ",,,19/10/2022,18/10/2024,18/10/2022,NO,,No,No,No,Services,2250000,,18/10/2022,2250000,"[Foundry4 Consulting Ltd|7 Savoy Ct, London WC2R 0EX|NONE_OTHER||No|No]",,19/10/2022,18/10/2024,"CallOffFromFrameworkAgreement ",,17:00
CF-0282300D58000000L5A4EAK,Contract,"Home Office",Awarded,2023-12-14T17:21:43Z,"UKVI - Migration Business Endorsing Body Services","The Home Office is seeking to improve immigration arrangements for entrepreneurial talent from overseas,
including further reform of existing visa routes. The service requires Endorsing Bodies to assess the
credibility and potential of business and investment proposals and to oversee the successful
implementation and delivery of businesses subsequently set up in United Kingdom.",,"SW1P 4DF","Any region","72221000 79412000 ","MBEB Procurement Team",MBEBProcurementTeam@homeoffice.gov.uk,"2 Marsham St, Westminster",,London,"SW1P 4DF",GB,,,"MBEB - FTS Contract Award Notice 031781-2022 (Published 10-Nov-22).pdf ",,"The Authority has awarded three separate concession contracts for the provision of these serevices.",24/10/2022,23/10/2028,10/05/2022,NO,,Yes,No,No,Services,0,9500000,24/10/2022,9500000,"[Envestors Limited|null|NONE||Yes|No]",,24/10/2022,23/10/2028,"OpenOJEU ",,15:00
