"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
20221006123353-104123,Contract,"WAKEFIELD COUNCIL",Awarded,2024-05-07T11:47:33+01:00,"Official Controls Food Interventions and Inspections","This contract is for the delivery of Official Control Food Interventions and Food Premises Inspections as required by the Food Safety Act 1990 and is a direct award via the Leeds City Council Framework Agreement for Official Controls Food Interventions (Ref 47105).",,,"Yorkshire and The Humber","90714500 ","Natalie Taylor",ntaylor@wakefield.gov.uk,"Wakefield One,Burton Street",,WAKEFIELD,WF12EB,England,,,,,,01/04/2024,31/03/2025,02/03/2022,NO,,Yes,No,No,Services,0,,06/10/2022,50000,"[Osbourne Richardson Limited|Fourth Floor
167 Fleet Street
London
EC4A 2EA|NONE_OTHER||No|No]",,01/04/2024,31/03/2025,"CallOffFromFrameworkAgreement ",,12:00
BRISTOLCC001-DN638737-51051743,Contract,"Bristol City Council",Awarded,2024-04-30T16:32:03+01:00,"BSH/HRA/ Brentry Construction Phase","Brentry Construction Phase.

Contract awarded via a mini-competition ran via the SWPA H1 Construction Framework.",,,"South West","71200000 45211000 ","Tom Lynes",Tom.Lynes@bristol.gov.uk,"Bristol City Council","City Hall, College Green",Bristol,"BS1 5TR","United Kingdom","'+44 0",https://www.bristol.gov.uk/,,,,09/03/2023,01/07/2025,15/01/2021,NO,,Yes,Yes,No,Works,6200000,,04/10/2022,7428054,"[Vistry Partnerships (Formerly known as Galliford Try Partnership|ME19 4UY|NONE||No|No]",,09/03/2023,01/07/2025,"Other ",,12:00
tender_434626/1348904,Contract,OFCOM,Awarded,2024-04-25T16:15:38+01:00,"Executive Search Services","Provision of executive search services to support the recruitment of a number of Non Executive Directors C4C",,"SE1 9HA","Any region","79600000 ",,procurementnotice@ofcom.org.uk,"Riverside House, 2a Southwark Bridge Road",,London,"SE1 9HA",England,,,,,,10/10/2022,31/10/2023,09/10/2022,NO,,No,No,No,Services,101250,,10/10/2022,101250,"[Russell Reynolds|28 King Street, London, SW1Y 6QW|NONE_OTHER||No|No]",,10/10/2022,31/10/2023,"SingleTenderActionNonOJEU ",,12:00
BRISTOLCC001-DN623717-85581420,Contract,"Bristol City Council",Awarded,2024-04-18T17:21:33+01:00,"Early Engagement: Respite Rooms Service 2023-25","Early Engagement: Respite Rooms Service 2023-25",,,"South West","85000000 ","Farida Sheikh",farida.sheikh@bristol.gov.uk,"City Hall","College Green",Bristol,"BS1 5TR","United Kingdom","'+44 0",https://www.bristol.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=7cad9e76-ff08-ed11-8116-005056b64545 ",,01/04/2023,31/03/2025,08/10/2022,NO,,Yes,Yes,No,Services,429581,429581,09/10/2022,644372,"[St Mungo Community Housing Association|E1W 1WY|NONE||No|Yes]",,01/04/2023,31/03/2026,"Other ",,12:00
LUTON001-DN634862-53124075,Contract,"Luton Council",Awarded,2024-04-17T12:06:46+01:00,"RM6165 - The Stage - Employers Agent","Employers Agent for The Stage",,,England,"71315200 ","Gary Collins",Gary.collins@luton.gov.uk,"Town Hall","George Street",Luton,"LU1 2BQ",England,"'+441582 546000",http://www.luton.gov.uk,,,,10/10/2022,31/12/2026,07/10/2022,NO,,No,No,No,Services,400000,400000,07/10/2022,400000,"[WSP UK Ltd|70 Chancery Lane
London
WC2A 1AF|NONE||No|No]",,10/10/2022,31/12/2026,"Other ",,12:00
2223-0246,Contract,"London Borough of Islington",Awarded,2024-03-21T16:03:02Z,"Love Clean Streets","Love Clean Streets is an App that is used by residents to report flytipping and other street issues. It is easy for residents to use and it is widely used by local authorities. It is also planned to integrate it with Yotta/Alloy the new application that will be replacing Contender and CIVICA App. This will enable streamlined administration of assigning resource to deal with the reported issues.",,"N1 2UD",,"85000000 90000000 92000000 ",,procurement@islington.gov.uk,"Town Hall",,LONDON,"N1 2UD",England,,,,,,10/10/2022,10/10/2025,09/09/2022,NO,,No,No,No,Services,9801,,04/10/2022,9801,"[Blackburn IT Services|2 Upperton Gardens
Eastbourne
East Sussex
BN21 2AH|COMPANIES_HOUSE|3699262|No|No]",,10/10/2022,10/10/2025,"CallOffFromFrameworkAgreement ",,12:00
BIP850484419,Contract,"Scottish Water",Awarded,2024-03-20T09:00:06Z,"GD-Glasgow: Tax Advisory Services","Scottish Water is inviting suppliers to tender for the provision of Tax Advisory Services. 
      
      Scottish Water requires provision of strategic advice and tax planning for all major taxes with high level review of corporation tax computations.",,,Scotland,"79221000 ",.,nicholas.green@scottishwater.co.uk,"6 Buchanan Gate",,Glasgow,"G33 6FB",UK,'+448000778778,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=850484419 ","The contracting authority considers that this contract may be suitable for economic operators that are small or medium enterprises (SMEs). However, any selection of tenderers will be based solely on the criteria set out for the procurement.The PQQ and ITN documents can be accessed by logging in through the Scottish Water Delta E-Sourcing webpage https://scottishwater.delta-esourcing.com/ and through the response manager section using the following access code: 67FVM47W3C",02/03/2023,01/03/2029,06/10/2022,NO,,Yes,Yes,No,Services,408000,,06/10/2022,408000,"[Ernst & Young LLP|Atria One
        144 Morrison Street
        Edinburgh 
        EH3 8EX|NONE||No|No]",,02/03/2023,01/03/2029,"Negotiated ",,00:00
"IT-234-33985-BHCC - 033985 - AWARD",Contract,"BHCC City Transport",Awarded,2024-03-19T12:10:11Z,"BHCC JB Highways Services Contracts - AWARD","Brighton & Hove City Council (BHCC) is seeking professional, properly defined and priced propositions from suitably qualified and interested organisations for the provision of Highways Services.
      
      The scope of the services required is being procured under three lots being: 
      
      o Lot 1 - Civil Works and Improvements
      o Lot 2 - Highways Safety Maintenance, Operations and Small Pavement Works
      o Lot 3 - Road Lining and Studs Works
      
      The framework agreement will be broken into three different contracts. Lot 1 is a framework with 3 providers. Lot 2 is a framework with 1 provider. Lot 3 is a framework with 1 provider. The framework agreement will be a 4-year initial contract period with possible extensions arrangement (4 + 2 + 2) for all Lots, extendable based on performance. Lewes District and Eastbourne Borough Councils (one combined authority) can use Lot 1. A prior information notice (PIN) was issued on 5 November 2021 and the reference is 2021/S 000-027787.",,"BN1 1JE","South East","45233000 45233139 ","James Breen (BHCC)",james.breen@brighton-hove.gov.uk,"Bartholomew Square",Brighton,UK,"BN1 1JE","United Kingdom",'+441273293593,https://www.brighton-hove.gov.uk,,,,20/07/2022,19/07/2026,27/04/2022,NO,,No,No,No,Works,0,200000000,04/10/2022,0,"[Edburton Contractors Ltd|The Old Brickworks, Shoreham Road, Henfield, West Sussex, United Kingdom, BN5 9SE|NONE||No|No][FM Conway Ltd|Conway House, Vestry Road, Sevenoaks, Kent, TN14 5EL, Sevenoaks, Kent, United Kingdom, TN14 5EL|NONE||No|No][RjDance (Contractors)Ltd|310 Brighton Road, Belmont, Surrey, United Kingdom, SM2 5SU|NONE||No|No]",,20/07/2022,19/07/2026,"Restricted ",,12:00
2223-0250,Contract,"London Borough of Islington",Awarded,2024-01-30T14:14:17Z,"Electronic Notice Boards","The council requires, from time to time, the performance of CCT and network installation and maintenance engineering and consultancy service. Opportunities are that there would be an increase of council led communication on Housing estates which the residents can access. The data will be up to date and will save on costs for members of staff to manually update the traditional notice boards. All areas that have been identified to have a notice board fitted will be authorised via estate services so that any building's which are listed are omitted from the plan.",,"N1 2UD",,"48813100 72222300 ",,procurement@islington.gov.uk,"Town Hall",,LONDON,"N1 2UD",England,,,,,,03/04/2023,01/04/2025,01/03/2023,NO,,No,No,No,Services,760320,,07/10/2022,760320,"[Cognetix Limited|78 churchgate,
stockport
cheshire 
SK1 1YJ|COMPANIES_HOUSE|03455974|No|No]",,03/04/2023,01/04/2025,"CallOffFromFrameworkAgreement ",,12:00
DERBSCC001-DN712526-77403034,Contract,"Derbyshire County Council",Awarded,2024-02-22T16:02:53Z,"CT2116 Provision of Vehicle Chassis Pressure Washing/Cleaning","Provider to carry out vehicle steam cleaning for the Derbyshire County Council mixed fleet of vehicles ranging from cars to 26T HGVs and winter maintenance vehicles.",,,"East Midlands","50100000 ",,procurement.supportteam@derbyshire.gov.uk,"County Hall",,Matlock,"DE4 3AG",England,,http://www.derbyshire.gov.uk/,,,,10/10/2022,09/10/2024,04/10/2022,NO,,Yes,No,No,Services,25000,25000,05/10/2022,25000,"[Botham Commercials Ltd, Ford & Slater Chesterfield Ltd, Joul|Botham Commercials Ltd: S43 3JN
Ford & Slater: S40 2RG
Joules Brady: SK23 0PE, DE5 3GH
Man Truck & Bus Ripley: DE5 3GH|NONE||Yes|No]",,10/10/2022,09/10/2024,"Other ",,23:59
"IT-336-2951-WCC 00002321 - AWARD",Contract,"Worcestershire County Council",Awarded,2024-02-02T11:22:17Z,"REVISED path construction Diglis to Duck Brook - AWARD","This project supersedes the previous project Worcester TIP Diglis to Duck Brook.
      The project looks to create a stone surfaced path 2.5 to 3m wide across the Diglis Fields Nature reserve, linking Diglis Bridge to Duck Brook.  Other works may arise through the contract depending upon the submissions.  Unlike the previous tender, there is no bridge replacement planned over Duck Brook.",,"WR5 2NP","Any region","45233340 ","Philip Goddard",pgoddard1@worcestershire.gov.uk,"Spetchley Road",Worcester,Worcestershire,"WR5 2NP","United Kingdom","01905 845680",,,,,14/10/2022,30/04/2023,30/09/2022,NO,,No,No,No,Works,0,0,10/10/2022,112000,"[B G Churchill Contractors|Dovetree farm, Stanford Bridge, Worcester, United Kingdom, WR6 6SJ|NONE||No|No]",,14/10/2022,30/04/2023,"Restricted ",,17:03
