"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CF-0714400D0O000000rwimUAA,Contract,"Health Education England",Awarded,2024-05-09T15:20:48+01:00,Freshdesk,"Freshdesk customer engagement suite",,"LS1 4PL","United Kingdom","72000000 ","Commercial Team",workforcecommercialteam@hee.nhs.uk,"Duncombe Street",,Leeds,"LS1 4PL","United Kingdom",,,"Redacted HEE_Freshdesk_-_G-Cloud-12-Call-Off-Contract_Final.pdf ",,,02/03/2022,28/02/2025,01/03/2022,NO,,No,No,No,Services,70560,70560,04/03/2022,105840,"[Freshworks Inc.|""2950 S. Delaware Street, Suite 201

San Mateo California 94403|NONE||No|No]",,02/03/2022,28/02/2025,"CallOffFromFrameworkAgreement ",,12:00
NOTTSCC001-DN506252-10685352,Contract,"Nottinghamshire County Council",Awarded,2024-04-26T11:29:59+01:00,"Ageing Well Care Homes Framework","Nottinghamshire County Council (the Authority) is seeking to establish a framework of experienced providers of care home services (not individual care homes unless the provider operates a single care home only) to offer placements to older individuals, usually aged 65 and over, in CQC registered establishments located in Nottinghamshire (including Nottingham City).\\\\r\\r\r
The framework will be available for use by the following commissioners:\\\\r\\r\r
âââ€š¬¢	Nottinghamshire County Council\\\\r\\r\r
âââ€š¬¢	Nottingham and Nottinghamshire Clinical Commissioning Group (CCG)\\\\r\\r\r
âââ€š¬¢	Bassetlaw Clinical Commissioning Group CCG\\\\r\\r\r
""Out of County"" placements in homes operated by providers on the Framework will also be made under the terms of the Framework Agreement.\\\\r\\r\r
Bidders must have experience of delivering relevant care home services and currently be providing care home services in Nottinghamshire or have appropriate services already in development.  It is not the Authority's intention to encourage the development of additional care home provision through this project.\\\\r\\r\r
The Framework will allow the Authority to engage with suitably qualified Providers to deliver Care Home services which enable older adults to live a meaningful life in a care home.  It will cover all forms of residential care including nursing, interim, short term and respite care.\\\\r\\r\r
The process is a competitive procurement conducted in accordance with the Light Touch regime of Regulations 74-77 of the Public Contract Regulations 2015.\\\\r\\r\r
",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West","85000000 ","Catherine Flint",catherine.flint@nottscc.gov.uk,"County Hall","West Bridgford",Nottingham,"NG2 7QP","United Kingdom","'+44 1159772009",http://www.nottinghamshire.gov.uk,,"http://www.eastmidstenders.org ",,01/02/2022,31/01/2027,08/11/2021,NO,,Yes,Yes,No,Services,1000000000,,04/03/2022,1000000000,"[Anchor Hanover Group|WC1E 7HJ|NONE||No|No][Ashmere Care Homes Nottinghamshire|ng17 2ah|NONE||Yes|No][Barchester Healthcare Homes Ltd|EC2A 1AS|NONE||No|No][Beckedge Ltd|ng14 7eb|NONE||Yes|No][Beech House Carehome Worksop Limited|S81 7LL|NONE||Yes|No][HC-One limited|DL3 6AH|NONE||No|No][HC-One No.1 Limited|DL1 3BA|NONE||No|No][Burlington Care|YO15 3QY|NONE||No|No][Justcare Homes Ltd|NG19 8BB|NONE||Yes|No][Mansfield Manor Care Home|NG19 7Ad|NONE||Yes|No][OWEN & OWEN RETIREMENT DEVELOPMENTS LIMITED|NG12 1AW|NONE||Yes|No][Regal Care Trading|BR6 0SA|NONE||No|No][Runwood Homes|SS7 2QL|NONE||No|No][Wren Hall Nursing Homes|NG16 6AB|NONE||No|Yes]",,01/07/2022,30/06/2027,"Open ",,12:00
DN669650,Contract,"Torbay Council",Awarded,2023-05-11T09:02:46+01:00,"Station Square - Stage 4 Design Services","Design development and technical services to RIBA Stage 4 inclusive, Station Square Public Realm.
Update - Re-instructing the design team to review/update the Station Square layout. This requirement has arisen due to the proposed changes to Torbay Road and Hyde Road.
Extension approved",,,"South West","45111291 ","Commercial Services",Commercial.Services@torbay.gov.uk,"TOWN HALL,CASTLE CIRCUS",,TORQUAY,TQ13DR,England,"01803 208391",,,,,04/03/2022,17/03/2023,03/03/2022,NO,,No,No,No,Services,240218,,03/03/2022,240218,"[WARD WILLIAMS ASSOCIATES LLP|COMPASS HOUSE,TRURO BUSINESS PARK
TRURO
CORNWALL
TR4 9LD
GB|COMPANIES_HOUSE|OC401502|No|No]",,04/03/2022,17/03/2025,"Other Direct Award via Waiver process",,17:00
TNA459,Contract,"The National Archives",Awarded,2022-03-09T13:15:31Z,"BackUp Solution Services Support","To procure a support partner and contract for our current supply of backup solution hardware, systems, connections and applications
Crown Commercial Service framework RM6068",,TW94DU,,"30000000 72000000 ",,itfp@nationalarchives.gov.uk,"RUSKIN AVENUE",,RICHMOND,TW94DU,England,,,,,,01/04/2022,31/03/2025,17/02/2022,NO,,Yes,No,No,Services,33951,,08/03/2022,33951,"[COMPUTACENTER (UK) LIMITED|Hatfield Avenue
SE1 8HL
GB|COMPANIES_HOUSE|01584718|No|No]",,01/04/2022,31/03/2025,"CallOffFromFrameworkAgreement ",,17:00
CTC01,Contract,"Cinderford Town Council",Awarded,2024-02-23T15:24:08Z,"Miners Welfare Play Area FENCING","Supply and installation of fenceline with 2 gates.   Gates and fencing to comply with industry standards for play areas.  

All prices should be exclusive of VAT. 

Suppliers are invited to submit for providing the gates and fencing as detailed in the attached design.  

Quotations are to be sent via post no later than 21st February 2022 at 23:59 to clerk@cinderfordtowncouncil.gov.uk or addressed to:

Emma Bennett
Town Council Clerk
Cinderford Town Council
Belle Vue Centre, Belle Vue Road
Cinderford, GL14 2AB",,"GL14 2JH",,"34928200 ","Emma Bennett",clerk@cinderfordtowncouncil.gov.uk,"St Annal's House, Belle Vue Centre","Belle Vue Road",Cinderford,"GL14 2AB","United Kingdom",01594822599,,"190121_001_CINDERFORD_PROPOSED SITE PLAN_PLANNING FEB2022.pdf ",,,10/06/2022,10/07/2022,21/02/2022,NO,,Yes,No,No,Products,1,,08/03/2022,13673,"[Greenfields Ltd|Kites Nest Yard
Kites Nest Lane
Churcham
Gloucester
GL2 8BL|COMPANIES_HOUSE|3175687|Yes|No]",,08/06/2022,08/06/2024,"OpenNonOJEU ",,23:59
CTC04,Contract,"Cinderford Town Council",Awarded,2024-02-23T15:13:40Z,"Lighting for Cinderford Skatepark","The project involves supplying and installing skatepark lighting for the new skatepark (currently expected to commence 7th March 2022).  The project will consist of all necessary works and installation.",,"GL14 2JH",,"31518100 ","Emma Bennett",clerk@cinderfordtowncouncil.gov.uk,"St Annal's House, Belle Vue Centre","Belle Vue Road",Cinderford,"GL14 2AB","United Kingdom",01594822599,,"Skatepark Lighting-Invitation-to-tender.docx ",,,14/06/2022,14/08/2022,07/03/2022,NO,,Yes,No,No,Works,0,,08/03/2022,22420,"[Highlights Floodlighting Ltd|Manor Farm Court
Manor Road
Lower Sundon
Bedfordshire
LU3 2NZ|COMPANIES_HOUSE|3695810|Yes|No]",,08/04/2022,08/04/2024,"OpenNonOJEU ",,15:00
20240219151633-104106,Contract,"North Lincolnshire Council",Awarded,2024-02-19T15:16:37Z,"Project Anchor Phase 1","PSC (Stage 1 Submission)",,,"Yorkshire and The Humber","45000000 ",,procurement@northlincs.gov.uk,"Church Square House, 30-40 High Street",,Scunthorpe,"DN15 6NL",ENG,,www.northlincs.gov.uk,,,,20/02/2024,21/02/2024,19/02/2024,NO,,No,No,No,Services,0,427756.49,07/03/2022,427756.49,"[Galliford Try Construction Limited|Galliford Try Construction Limited
223 4135 06
The White House, Leicester Road, Wolvey
LE10 3JH
Hinckley|NONE||No|No]",,07/03/2022,15/07/2022,"Restricted ",,15:11
CF-1296500D0O000000rwimUAA,Contract,"NHS England",Awarded,2024-02-04T10:35:35Z,"CCN_Kent Surry Sussex MSA_AHSN_Innovation Service_Communication 21-22","The Requirement is for the provision of communications activity for the new NHS Innovation Service, a digital service for innovators wishing to access the NHS and aims to speed up the pathway from idea to deployment in the NHS.",,"LS2 7UE",England,"73000000 ","Julian Farley - Procurement Lead",Julian.Farley@nhs.net,"Wellington House, 133-135 Waterloo Road",,London,"SE1 8UG",England,,,"C71223~4.pdf ",,,01/11/2021,31/03/2022,30/10/2021,NO,,No,No,No,NotApplicable,75000,75000,07/03/2022,75000,"[Kent Surrey Sussex AHSN Limited|Amelia House, Crescent Road, Worthing, West Sussex BN11 1RL|NONE||Yes|No]",,01/11/2021,31/03/2022,"CallOffFromFrameworkAgreement ",,12:00
tender_307935/1305609,Contract,"MCA - Maritime and Coastguard Agency",Awarded,2024-01-24T10:24:54Z,"Online Technical Assessment Platform","Extension to complete work as agreed in original contract.",,"SO15 1EG","South East","72000000 ",,contracts@mcga.gov.uk,"MCA HQ, Spring Place",,Southampton,"SO15 1EG",England,'+0000,,,,,08/03/2022,07/03/2026,07/03/2022,NO,,Yes,Yes,No,Services,590000,,07/03/2022,590130,[||NONE_OTHER||No|No],,07/03/2022,07/03/2026,"CallOffFromFrameworkAgreement ",,11:00
NOTTCITY001-DN687660-80838047,Contract,"Nottingham City Council",Awarded,2024-01-16T13:30:18Z,"CPU 6755 Planned Carriageway Maintenance - Lincoln Street / Church Street","CPU 6755 Planned Carriageway Maintenance - Lincoln Street / Church Street is a call off NCC CPU 4622 Highways Planned Carriageway Maintenance Framework",,,England,"45000000 50000000 51000000 44110000 ","Cal Warren",Cal.Warren@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom",,http://www.nottinghamcity.gov.uk,,,,31/08/2023,31/03/2027,04/02/2022,NO,,Yes,Yes,No,Works,90000,,08/03/2022,90000,"[Thomas Bow Ltd|Ashbow Court
4-12 Middleton Street
Lenton
Nottingham
NG7 2AL|NONE||No|No]",,13/11/2023,29/03/2024,"Open ",,12:00
NOTTCITY001-DN687660-48432696,Contract,"Nottingham City Council",Awarded,2024-01-16T13:24:54Z,"CPU 6754 Planned Carriageway Maintenance - Lime Kiln Court","CPU 6754 Planned Carriageway Maintenance - Lime Kiln Court is a call off NCC CPU 4622 Highways Planned Carriageway Maintenance Framework",,,England,"45000000 50000000 51000000 44110000 ","Cal Warren",Cal.Warren@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom",,http://www.nottinghamcity.gov.uk,,,,31/08/2023,31/03/2027,04/02/2022,NO,,Yes,Yes,No,Works,60000,,08/03/2022,60000,"[Thomas Bow Ltd|Ashbow Court
4-12 Middleton Street
Lenton
Nottingham
NG7 2AL|NONE||No|No]",,13/11/2023,29/03/2024,"Open ",,12:00
NOTTCITY001-DN687660-25345334,Contract,"Nottingham City Council",Awarded,2024-01-16T13:19:11Z,"CPU 6753 Planned Carriageway Maintenance - Ilkeston Road","CPU 6753 Planned Carriageway Maintenance - Ilkeston Road is a call off NCC CPU 4622 Highways Planned Carriageway Maintenance Framework",,,England,"45000000 50000000 51000000 44110000 ","Cal Warren",Cal.Warren@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom",,http://www.nottinghamcity.gov.uk,,,,31/08/2023,31/03/2027,04/02/2022,NO,,Yes,Yes,No,Works,125000,,08/03/2022,125000,"[Thomas Bow Ltd|Ashbow Court
4-12 Middleton Street
Lenton
Nottingham
NG7 2AL|NONE||No|No]",,13/11/2023,29/03/2024,"Open ",,12:00
NOTTCITY001-DN687660-77744175,Contract,"Nottingham City Council",Awarded,2024-01-16T13:12:17Z,"CPU 6752 Planned Carriageway Maintenance - Chalfont Drive","CPU 6752 Planned Carriageway Maintenance - Chalfont Drive is a call off NCC CPU 4622 Highways Planned Carriageway Maintenance Framework",,,England,"45000000 50000000 51000000 44110000 ","Cal Warren",Cal.Warren@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom",,http://www.nottinghamcity.gov.uk,,,,31/08/2023,31/03/2027,04/02/2022,NO,,Yes,Yes,No,Works,87000,,08/03/2022,87000,"[Thomas Bow|Ashbow Court
4-12 Middleton Street
Lenton
Nottingham
NG7 2AL|NONE||No|No]",,13/11/2023,29/03/2024,"Open ",,12:00
NOTTCITY001-DN687660-71638437,Contract,"Nottingham City Council",Awarded,2024-01-16T13:01:35Z,"CPU 6750 Planned Carriageway Maintenance - Hartley Road","CPU 6750 Planned Carriageway Maintenance - Hartley Road is a call off NCC CPU 4622 Highways Planned Carriageway Maintenance Framework",,,England,"45000000 50000000 51000000 44110000 ","Cal Warren",Cal.Warren@nottinghamcity.gov.uk,"Loxley House","Station Street",Nottingham,"NG2 3NG","United Kingdom",,http://www.nottinghamcity.gov.uk,,,,31/08/2023,31/03/2027,04/02/2022,NO,,Yes,Yes,No,Works,143587.61,,08/03/2022,143587.61,"[Thomas Bow Ltd|Ashbow Court
4-12 Middleton Street
Lenton
Nottingham
NG7 2AL|NONE||No|No]",,13/11/2023,29/03/2024,"Open ",,12:00
tender_287609/1069603,Contract,"Ministry of Justice",Awarded,2022-05-11T12:08:58+01:00,"Contract Award","The requirements at Her Majesty's Prison and Young Offenders Institution HMP & YOI Styal for
pregnancy and Mother and Baby Unit Services during the custodial period, prior and immediately
following release.
The primary aim is to support pregnant women, mothers, babies and through the provision of nursery
services for the babies and general support of Mothers and pregnant women to actively engage with
their parental responsibility in custody and enable them to access appropriate support in their
communities.
Strategic Aims
The strategic aims of the service are:
- To prevent separation between mothers and babies eligible for an MBU placement where this is in the
best interests of the child, which in turn reduces the risk of reoffending and the resulting social
economic impact
- To identify and respond to individual needs of pregnant women, mothers and babies, including any
barriers for specific groups in relation to protected characteristics
- To promote and support mothers in their parental responsibility, by delivering routine and targeted
parenting support and guidance
- To enable pregnant women and mothers to continue to engage with the prison regime whilst caring
for their children, including contributions to wider care planning and information sharing and recording
in relation to women's progress
- To raise awareness and support prison staff to deliver effective support to pregnant women and
mothers when in custody
- Ensure the safeguarding and wellbeing of pregnant women, mothers and babies
- ensure liaison and engagement with community support services such as healthcare services and
children's services and continuity of this on release",,"SK9 4HR","North East","75231210 ",,moJCommercialReset@justice.gov.uk,"3rd Floor, NMS Redfern Building, Dantzic Street,",,Manchester,"M60 0AE",England,,,"REDACTED2 Contract -Call-Off Contract-Mother and Baby HMP Styal-Final.pdf ",,,01/04/2022,31/03/2025,07/01/2022,YES,tender_287609/1015346,Yes,Yes,No,Services,0,0,03/03/2022,0,"[Action for Children|3 The Boulevard, Ascot Road, Watford, Hertfordshire, WD18 8AG, UNITED KINGDOM|NONE_OTHER||No|No]",,01/04/2022,31/03/2025,"CallOffFromDynamicPurchasingSystem ",,10:00
tender_287609/1069650,Contract,"Ministry of Justice",Awarded,2022-05-11T12:07:57+01:00,"Contract Award","The requirements at Her Majesty's Prison and Young Offenders Institution HMP New Hall  for
pregnancy and Mother and Baby Unit Services during the custodial period, prior and immediately
following release.
The primary aim is to support pregnant women, mothers, babies and through the provision of nursery
services for the babies and general support of Mothers and pregnant women to actively engage with
their parental responsibility in custody and enable them to access appropriate support in their
communities.
Strategic Aims
The strategic aims of the service are:
- To prevent separation between mothers and babies eligible for an MBU placement where this is in the
best interests of the child, which in turn reduces the risk of reoffending and the resulting social
economic impact
- To identify and respond to individual needs of pregnant women, mothers and babies, including any
barriers for specific groups in relation to protected characteristics
- To promote and support mothers in their parental responsibility, by delivering routine and targeted
parenting support and guidance
- To enable pregnant women and mothers to continue to engage with the prison regime whilst caring
for their children, including contributions to wider care planning and information sharing and recording
in relation to women's progress
- To raise awareness and support prison staff to deliver effective support to pregnant women and
mothers when in custody
- Ensure the safeguarding and wellbeing of pregnant women, mothers and babies
- ensure liaison and engagement with community support services such as healthcare services and
children's services and continuity of this on release",,"WF4 4XX","North East","75231210 ",,moJCommercialReset@justice.gov.uk,"3rd Floor, NMS Redfern Building, Dantzic Street,",,Manchester,"M60 0AE",England,,,"REDACTED2 Annex G-Call-Off Contract-Mother and Baby HMP New Hall-Final.pdf ",,,01/04/2022,31/03/2025,07/01/2022,YES,tender_287609/1015726,Yes,Yes,No,Services,0,0,03/03/2022,0,"[Action for Children|3 The Boulevard, Ascot Road, Watford, Hertfordshire, WD18 8AG, UNITED KINGDOM|NONE_OTHER||No|No]",,01/04/2022,31/03/2025,"CallOffFromDynamicPurchasingSystem ",,10:00
tender_287609/1069655,Contract,"Ministry of Justice",Awarded,2022-05-11T12:06:37+01:00,"Contract Award","The requirements at Her Majesty's Prison and Young Offenders Institution HMP Askham Grange  for
pregnancy and Mother and Baby Unit Services during the custodial period, prior and immediately
following release.
The primary aim is to support pregnant women, mothers, babies and through the provision of nursery
services for the babies and general support of Mothers and pregnant women to actively engage with
their parental responsibility in custody and enable them to access appropriate support in their
communities.
Strategic Aims
The strategic aims of the service are:
- To prevent separation between mothers and babies eligible for an MBU placement where this is in the
best interests of the child, which in turn reduces the risk of reoffending and the resulting social
economic impact
- To identify and respond to individual needs of pregnant women, mothers and babies, including any
barriers for specific groups in relation to protected characteristics
- To promote and support mothers in their parental responsibility, by delivering routine and targeted
parenting support and guidance
- To enable pregnant women and mothers to continue to engage with the prison regime whilst caring
for their children, including contributions to wider care planning and information sharing and recording
in relation to women's progress
- To raise awareness and support prison staff to deliver effective support to pregnant women and
mothers when in custody
- Ensure the safeguarding and wellbeing of pregnant women, mothers and babies
- ensure liaison and engagement with community support services such as healthcare services and
children's services and continuity of this on release",,"YO23 3FT","North East","75231210 ",,moJCommercialReset@justice.gov.uk,"3rd Floor, NMS Redfern Building, Dantzic Street,",,Manchester,"M60 0AE",England,,,"REDACTED2 Annex G-Call-Off Contract-Mother and Baby HMP Askham Grange-Final.pdf ",,,01/04/2022,31/03/2025,07/01/2022,YES,tender_287609/1015727,Yes,Yes,No,Services,0,0,03/03/2022,0,"[Action for Children|3 The Boulevard, Ascot Road, Watford, Hertfordshire, WD18 8AG, UNITED KINGDOM|NONE_OTHER||No|No]",,01/04/2022,31/03/2025,"CallOffFromDynamicPurchasingSystem ",,10:00
CF-2024700D0O000000rwimUAA,Contract,"London Ambulance Service NHS TTrust",Awarded,2023-11-21T13:37:47Z,"Internet Connections for New Site","Call-off for New Internet Connections under Pan London ICT Framework",,"SE1 8SD",London,"72400000 ","P Candler",p.candler@nhs.net,"220 Waterloo Road",,London,"SE1 8SD",UK,,,,,,01/05/2022,01/05/2027,01/04/2022,NO,,No,No,No,Products,175904.2,175904.2,03/03/2022,175904.2,"[BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY|1 Braham Street E1 8EE|NONE||No|No]",,01/05/2022,01/05/2027,"CallOffFromFrameworkAgreement ",,12:00
WLINDC001-DN593583-06228007,Contract,"West Lindsey District Council",Awarded,2023-11-14T18:30:05Z,"Support & Maintenance of the CCTV system for West Lindsey District Council","Support & Maintenance of the CCTV system for West Lindsey District Council",,,England,"35121000 35125300 ","Anna Grieve",anna.grieve@west-lindsey.gov.uk,Guildhall,"Marshall's Yard",Gainsborough,"DN21 2NA",England,"'+44 1427676676",https://www.west-lindsey.gov.uk/,,,,01/04/2022,31/03/2027,15/02/2022,NO,,No,No,No,Services,137000,137000,07/03/2022,137000,"[Videcom Security Limited|EN9 1PF|NONE||Yes|No]",,01/04/2022,31/03/2027,"Open ",,12:00
WLINDC001-DN593583-12324130,Contract,"West Lindsey District Council",Awarded,2023-11-14T18:28:22Z,"Support & Maintenance of the CCTV system for West Lindsey District Council","Support & Maintenance of the CCTV system for West Lindsey District Council",,,England,"35121000 35125300 ","Anna Grieve",anna.grieve@west-lindsey.gov.uk,Guildhall,"Marshall's Yard",Gainsborough,"DN21 2NA",England,"'+44 1427676676",https://www.west-lindsey.gov.uk/,,,,01/04/2022,31/03/2027,15/02/2022,NO,,No,No,No,Services,137000,137000,07/03/2022,137000,"[Videcom Security Limited|EN9 1PF|NONE||Yes|No]",,01/04/2022,31/03/2027,"Open ",,12:00
CF-0684300D0O000000rwimUAA,Contract,"Department of Health and Social Care (DHSC)",Awarded,2023-11-06T12:54:45Z,"Pilot Testing Programme for Expiry Extension - Lead Testing Partner","Lead Testing Partner role for the pilot testing programme for type IIR masks and visors. Includes non-standard testing and pilot management.",,"SW1H 0EU","Any region","71632000 ","Alexis Tjolle",Alexis.Tjolle@dhsc.gov.uk,"Quarry House",,Leeds,"LS2 7UE",GB,,,"SMTL Contract for Testing and Consultancy Services - Pilot Programme.pdf ",,,01/11/2021,30/06/2022,20/09/2021,NO,,Yes,Yes,No,Services,70000,,07/03/2022,70000,"[The Surgical Materials Testing Laboratory TA Velindre NHS Trust|Princess of Wales Hospital, Bridgend CF31 1RQ|NONE||No|No]",,01/11/2021,30/06/2022,"Other ",,12:00
DH20050,Contract,"DERBY HOMES LIMITED",Awarded,2023-10-23T10:38:28+01:00,"DH20050 - Occupational Health Services","Call Off under SBS NHS SBS/17/MG/ZOE/9271 - Direct Award for occupational health advice and services",,,"East Midlands","85100000 ",,DH-Procurement@derby.gov.uk,"839 London Road,Alvaston",,DERBY,DE248UZ,England,"01332 888777",,,,,01/04/2022,31/03/2026,25/02/2022,NO,,Yes,No,No,Services,60000,,07/03/2022,60000,"[HEALTHWORK LIMITED|16 St. John Street
M3 4EA
GB|COMPANIES_HOUSE|04925014|No|No]",,01/04/2022,31/03/2026,"CallOffFromFrameworkAgreement ",,00:00
"IT-368-9316-IBC/9316 - AWARD",Contract,"Ipswich Borough Council",Awarded,2023-10-13T12:11:11+01:00,"Purchase of professional wide area gang mower  - AWARD","Purchase of professional wide area gang mower",,"IP1 2DE","East of England","16700000 03100000 ","Obehi Oyewole",obehi.oyewole@ipswich.gov.uk,"15-17 Russell Road",Ipswich,Suffolk,"IP1 2DE","United Kingdom","'+44 1473433754",https://www.ipswich.gov.uk/services/procurement-and-tendering,,,,14/02/2022,21/02/2022,07/02/2022,NO,,Yes,No,No,Products,0,0,07/03/2022,29245,"[Ernest Doe & Sons Ltd|Broardwater Road, Framlingham, Woodbridge, United Kingdom, IP13 9LL|NONE||No|No]",,14/02/2022,21/02/2022,"Open ",,11:00
CF-1892300D0O000000rwimUAA,Contract,"NHS England",Awarded,2023-10-05T11:18:45+01:00,"Case Management Tool","HR Case Management Tool SaaS",,"LS1 4AP","United Kingdom","72000000 ",NHSDContractManagement,NHSDContractManagement@NHS.net,"7-8 Wellington Place",,Leeds,"LS1 4AP",GB,,,"C67093 - G-Cloud 12 Call-Off Contract [Redacted] (1).pdf ",,,14/03/2022,14/03/2024,11/11/2021,NO,,Yes,No,No,NotApplicable,23850,100000,03/03/2022,100000,"[Computer Application Services Limited|3/2 Quantum Court, Heriot Watt Research Park South, Edinburgh EH14 4AP|NONE||Yes|No]",,14/03/2022,14/03/2024,"CallOffFromFrameworkAgreement ",,12:00
"IT-368-9626-IBC/9626 - AWARD",Contract,"Ipswich Borough Council",Awarded,2023-09-21T11:41:17+01:00,"Annual Play Area Inspections - Ipswich Borough Council - AWARD","Annual Play Area Inspections - Ipswich Borough Council",,"IP1 2DE","East of England","50870000 98390000 ","Joanne Cherrington",joanne.cherrington@ipswich.gov.uk,"15-17 Russell Road",Ipswich,Suffolk,"IP1 2DE","United Kingdom","'+44 1473433754",https://www.ipswich.gov.uk/services/procurement-and-tendering,,,,14/03/2022,13/03/2026,04/03/2022,NO,,No,No,No,Services,0,0,08/03/2022,42054,"[Playsafety Limited|78 Shrivenham Hunderd Business park, Watchfield, Swindon, Oxfordshire, United Kingdom, SN6 8TY|NONE||No|No]",,14/03/2022,13/03/2026,"Open ",,11:00
"IT-368-9529-IBC/9529 - AWARD",Contract,"Ipswich Borough Council",Awarded,2022-03-10T11:40:59Z,"Traffic Management for Roadside Hedges - AWARD","Traffic Management for Roadside Hedges",,"IP1 2DE","East of England","34923000 34920000 ","Joanne Cherrington",joanne.cherrington@ipswich.gov.uk,"15-17 Russell Road",Ipswich,Suffolk,"IP1 2DE","United Kingdom","'+44 1473433754",https://www.ipswich.gov.uk/services/procurement-and-tendering,,,,27/02/2022,30/04/2022,16/02/2022,NO,,Yes,No,No,Services,0,0,05/03/2022,7000,"[tbf Contracting (Traffic) Ltd|Maitland Road, The Lion Barn, Needham Market, Suffolk, United Kingdom, IP68NZ|NONE||No|No]",,27/02/2022,30/04/2022,"Open ",,11:00
