"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HDG/2024/726,Contract,"STOKE-ON-TRENT CITY COUNCIL",Awarded,2024-04-29T13:21:40+01:00,"Market Service Review","Market service review",,"ST4 1HH",,"79411000 79411100 ",,richard.chadwick@stoke.gov.uk,"Civic Centre,Glebe Street",,STOKE-ON-TRENT,ST41HH,England,,,,,,01/09/2022,31/03/2024,01/08/2022,NO,,Yes,No,No,Services,38400,,19/08/2022,38400,"[Tile Hill Interim & Executive Ltd|Suite 501 The Nexus Building, Broadway, Letchworth Garden City, Hertfordshire.  SG6 9BL|COMPANIES_HOUSE|10484468|Yes|No]",,01/09/2022,31/03/2024,"CompetitiveQuotationNonOJEU ",,12:00
PNU1000165-1,Contract,"FCDO Services",Awarded,2024-04-09T14:15:11+01:00,"Agreement for Managed Private Cloud Multi-Tenant Solution - MARBLE - Post Discovery Build, Implementation & Live Support","Call off from G-Cloud 12 (RM1557.12)",,"MK19 7BH",,"79400000 ",,PurchasingEnquiries@fco.gov.uk,"1 St Floor Building 71",,"MILTON KEYNES",MK197BH,England,,,,,,18/08/2022,07/08/2024,17/08/2022,NO,,Yes,No,No,Services,19233.12,,17/08/2022,19233.12,"[Secure Cloud+ Limited|RG1 1PE|NONE_OTHER||Yes|No]",,18/08/2022,07/08/2024,"CallOffFromFrameworkAgreement ",,00:00
CS22364,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2024-03-18T14:31:39Z,"Agile Delivery Manager","****This is a contract award notice, not a call for competition**** Requirement was sourced via CCS Framework RM6160 Non Clinical Temporary and Fixed Term staff",,,"United Kingdom","79620000 ",,coreservices@uksbs.co.uk,"Polaris House,North Star Avenue",,SWINDON,SN21FF,England,,,"CS22364-001 - Contract (Redacted).pdf CS22364 - 002 - Variation Form - Countersigned REDACTED Final.pdf RM6277 - CS22364-003 - Fully Signed_redacted.pdf ",,,15/08/2022,31/03/2025,14/08/2022,NO,,Yes,No,No,Services,452435.88,,14/08/2022,452435.88,"[Computer Futures|Phoenix House 1-3
B3 3NH
GB|NONE_OTHER||Yes|Yes][BERKELEY SQUARE LIMITED|11 Berkeley Square
Clifton
Bristol
BS8 1HG|COMPANIES_HOUSE|03332524|Yes|No]",,15/08/2022,31/03/2025,"CallOffFromFrameworkAgreement ",,00:00
"Greater Cambridge Partnership A5-1 St Ives Greenway",Contract,"Cambridgeshire County Council",Awarded,2024-03-06T15:46:36Z,"GCP A5-1 St Ives Greenway prelim design","This was an award from Cambs County Council Joint Professional Services Framework to Atkins for a preliminary design of the Fen Drayton Link and concept design of the Over Bridleway links.",,,"East of England","71311210 ","Karen Griggs",karen.griggs@cambridgeshire.gov.uk,"Mandela House","4 Regent Street","Cambridge, UK","CB2 1BY","United Kingdom","01223 699154",,,,,15/08/2022,30/11/2022,14/08/2022,NO,,Yes,Yes,No,Works,147393,,14/08/2022,147393,"[Atkins|12--16 Addiscombe Road
Croydon
CR0 0XT|COMPANIES_HOUSE|00688424|No|No]",,15/08/2022,30/11/2022,"CallOffFromFrameworkAgreement ",,00:00
"CDB ID: 10491",Contract,"London Borough of Bromley Council",Awarded,2024-03-01T09:33:33Z,"Digital Solution for the Early Years Funding Process (2024-2027)","Digital Solution for the Early Years Funding Process

This contract has a 3+1 term with the extension options being at the discretion of the Council.

https://www.crowncommercial.gov.uk/agreements/RM1557.13",,,London,"30122100 ",,Procurement@bromley.gov.uk,"Bromley Civic Centre,Stockwell Close Civic Centre",,BROMLEY,BR13UH,"United Kingdom",,,,,,31/07/2024,31/07/2027,01/02/2024,NO,,Yes,Yes,No,Services,89070,120560,18/08/2022,89070,"[Sentinel Partners Limited|19 Highfield Road,
Egbaston,
Birmingham,
B15 3BR|COMPANIES_HOUSE|07710092|Yes|Yes]",,31/07/2024,31/07/2027,"CallOffFromFrameworkAgreement ",,12:00
SC-1227-24-TH,Contract,"Coventry University",Awarded,2024-02-05T09:16:36Z,"Subscription to Mintel full text database of market research report","Renewal of subscription to Mintel business database",,"CV1 5FB",,"48000000 ",,bux280@coventry.ac.uk,"Priory Street",,COVENTRY,CV15FB,England,,,,,,01/11/2022,31/10/2024,30/09/2022,NO,,No,No,No,Services,26001,,15/08/2022,26001,"[Mintel Group Ltd|Mintel House
4 Playhouse Yard
London
EC4V 5EX|COMPANIES_HOUSE|1475918|No|No]",,01/11/2022,31/10/2024,"SingleTenderActionNonOJEU ",,12:00
LEICSCITY02-DN600221-46666986,Contract,"Leicester City Council",Awarded,2024-01-22T17:20:21Z,"PAN2716 - Arts and Therapy Service for Looked After Children","ARTS & THERAPY SERVICE FOR LOOKED AFTER CHILDREN",,,England,"80100000 80600000 80200000 80340000 80310000 ","John Morgan",John.Morgan@leicester.gov.uk,"City Hall (4th Floor)","115 Charles Street",Leicester,"LE1 1FZ","United Kingdom","'+44 1164540347",http://www.leicester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=3ac5741a-7eec-ec11-8115-005056b64545 ",,01/09/2022,31/08/2024,18/07/2022,NO,,Yes,Yes,No,Services,480963,801605,16/08/2022,801605,"[Bullfrog Arts C.I.C.|LCB Depot 31 Rutland Street Leicester|NONE||Yes|No]",,01/09/2022,31/08/2024,"Open ",,12:00
"P4924 Gamesley Car Parks and Hard standings",Contract,"High Peak Borough Council & Staffordshire Moorlands District Council",Awarded,2024-01-12T12:24:22Z,"P4924 Gamesley Car Parks and Hard Standings","High Peak Borough Council wish to appoint a suitably experienced and competent contractor through a competitive tender exercise to complete works required in Gamesley car parks and hard standings.
This exercise is being managed through the Council's Electronic tendering system Proactis. To Register an Interest and submit a tender for this opportunity please click on the link below, 

Project reference number DN603370

https://supplystokeandstaffs.proactishosting.com/

You will need to register or log in (if you have already registered). If you have any queries or need assistance please contact us.

Reference: P4924
Closing date and time: Thursday 12th May 2022 12:00 (Noon)",,,"East Midlands","44000000 45000000 50000000 ","Procurement team",procurement@staffsmoorlands.gov.uk,"Town Hall",,Buxton,SK176EL,England,"0345 129 77 77",,,,,20/06/2022,19/06/2023,12/05/2022,NO,,Yes,No,No,Works,0,,15/08/2022,500000,"[Bethell Construction|Dane House 
Europa Park 
Stoneclough Road 
Kearsley 
Manchester 
M26 1GE|NONE_OTHER||No|No]",,20/06/2022,19/06/2023,"OpenNonOJEU ",,12:00
WP2077,Contract,"Government Digital Service",Awarded,2022-12-23T10:01:45Z,"WP2077 Knowledge Based Verification (KBV)","The provision of a cloud software solution to facilitate knowledge based verification questions to users and validated responses to GDS",,E18QS,,"72000000 ","Commissioning Team Commissioning Team",commissioning-digital@digital.cabinet-office.gov.uk,"125 Kingsway, 6th Floor, Aviation House",,Holborn,WC2B6NH,England,"07880 976486",,"Final GDS KBV Procurement - Redacted (1).pdf ",,,25/11/2022,24/11/2024,05/08/2022,NO,,Yes,No,No,Services,0,7000000,19/08/2022,7000000,"[EXPERIAN LIMITED|Talbot House
NG8 1TH
GB|COMPANIES_HOUSE|00653331|No|No]",,25/11/2022,24/11/2024,"CallOffFromFrameworkAgreement ",,17:00
LBKING001-DN624413-42084291,Contract,"The Royal Borough of Kingston upon Thames",Awarded,2024-01-04T12:39:15Z,"John Lewis Partnership Tenant 2 fitout works - Architectural Services","John Lewis Partnership Tenant 2 fitout works - Architectural Services",,,England,"71000000 ","Commissioning Team",commissioning@kingston.gov.uk,Guildhall,"High Street","Kingston upon Thames","KT1 1EU",England,"'+44 2085475000",http://www.kingston.gov.uk,,,,20/08/2022,01/08/2023,01/07/2022,NO,,No,No,No,Services,28600,28600,17/08/2022,28600,"[TPM Studio|N1 7BJ|NONE||Yes|No]",,20/08/2022,01/08/2023,"Open ",,23:59
