"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
PS21151,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2022-03-11T15:01:56Z,"UK SBS - PS21151 -  Biomass Resource Availability Calculator Model  Update","***Modification of the Contract*** 
Contract Variation PS21151 001 has extended the contract term from the 31st October 2022  to 31st March 2023.

Contract Variation PS21151 002 has extended the contract term from the 31st March 2023 to 31st July 2023 and has increased the total contract value by £73,300.00 excluding VAT.

Contract Variation PS21151 003 has extended the contract end date will be extended from 31 July 2023 to 31 October 2023.

Contract Variation PS21151 004 as extended the contract term from 31st October 2023 to 31st March 2024.

Contract Variation PS21151 005 has extended the contract term from 31st March 2024 to 31st May 2024.

***** THIS IS AN AWARD NOTICE, NOT A CALL FOR COMPETITION *****

This procurement is being concluded following a mini competition under CCS Research Market Place DPS - RM6018

Brief Description of Requirement

BEIS, in conjunction with other Government departments, are currently developing the Biomass Strategy, which will outline in more detail the expected role of biomass in net zero and the policies and measures that will be used to support this. The objective of the project is to update the UK and Global Bioenergy Resource Model such that it meets current analytical and policy requirements.",,"SW1H 0ET",,"73000000 79300000 ","Kallista Thomas",professionalservices@uksbs.co.uk,"Polaris House,North Star Avenue",,SWINDON,SN21FL,England,,,,,,10/02/2022,31/05/2024,22/09/2021,NO,,Yes,No,No,Services,150000,,11/02/2022,222842,"[Ricardo Energy & Environment|Gemini Building
Fermi Avenue
Harwell
OX11 0QR|COMPANIES_HOUSE|02815682|Yes|No]",,11/02/2022,31/05/2024,"CompetitiveQuotationNonOJEU ",,11:00
NNC00000251,Contract,"North Northamptonshire Council",Awarded,2024-02-12T10:23:04Z,"NNC LEVELLING UP FUND TO PROVIDE MANAGEMENT SUPPORT FOR THE LUF 2022 BIDDING ROUND - PHASE 1","We are seeking consultancy support to carry out the development of business cases and submission of an application we require consultants to have: 
•	Knowledge, experience and technical expertise of carrying out HM Treasury Green Book appraisal of capital projects.  
•	Familiarity with the Levelling Up Fund (any information on the experience of Levelling Up Fund Round 1 should be noted in your submission) and experience of supporting local authorities in delivering their Strategic Plans is essential.  
•	An initial meeting with each project, to identify further information required to develop a full business case to meet the requirements of a submission. 
•	Meetings or discussions with the project leader (internal or external) to ask questions on individual project proposals to address any matters arising and ensure a complete business case is undertaken with the full facts. You should estimate to meet once with each project for the purposes of the tender with all other correspondence being undertaken by telephone.

We ask tenderers to bid based on developing businesses cases and submissions for two packages each with up to three linked projects.  Bidders are asked to quote for developing a third and fourth bid, again each containing up to three projects with a day rate for additional appraisal work and any management support to the NNC team managing the bidding round.",,,"East Midlands","79400000 ","Victoria Phillipson",victoria.phillipson@northnorthants.gov.uk,"Tithe Barn Offices",,Wellingborough,"NN8 1BN",England,"0300 126 3000",,"NNC Consultant Procurement v 29.04.2022.pdf 22-04-29 LUF - RFQ V3 revised.docx Levelling Up Fund Phase 1 RFQ Clarification Questions 9.5.2022.pdf ",,,30/05/2022,31/03/2023,16/05/2022,NO,,Yes,Yes,No,Services,0,90000,12/02/2022,0,"[Not Awarded|N/A|NONE_OTHER||Yes|Yes]",,30/05/2022,31/03/2023,"CompetitiveQuotationNonOJEU ",,12:00
CF-0220400D8d000003VQwdEAG,Contract,EA,Awarded,2024-01-12T14:40:35Z,"WMD Asset Recondition Package 22-23 FOF","WMD Asset Recondition Package 22-23",,"SW1P 3JR","Any region","45000000 ","Liam Hall",liam.hall@environment-agency.gov.uk,"17 Smith Square",,London,"SW1P 3JR",UK,,,"Ston NEC4 ECSC _WMD Asset Recondition Works 2022 PDF_Redacted.pdf Ston NEC4 ECSC _WMD Asset Recondition Works 2022 PDF_Redacted.pdf ",,,14/02/2023,31/03/2023,13/01/2023,NO,,No,No,No,Works,140938.46,0,07/02/2022,140938.46,"[Stonbury Limited|MK44 3BH MK44 3BH|NONE||No|No]",,14/02/2023,31/03/2023,"CallOffFromFrameworkAgreement ",,17:00
tender_341965/1294078,Contract,"City of London Corporation",Awarded,2023-12-14T15:03:44Z,"Interim Continuous Improvement Project","Interim Continuous Improvement Project",,,London,"79411100 ",Onika,onika.syeda@cityoflondon.gov.uk,"City of London Corporation, Guildhall, London, EC2V 7HH",,London,"EC2V 7HH",England,'+442038347243,,,,,10/02/2022,30/04/2024,24/01/2022,NO,,Yes,No,No,Services,77500,,10/02/2022,77500,"[Catalyst Consulting|Tavistock House, Tavistock Square, London, WC1H 9LG|NONE_OTHER||No|No]",,10/02/2022,30/04/2024,"OpenNonOJEU ",,23:59
CF-2043000D0O000000rwimUAA,Contract,"Department of Health and Social Care (DHSC)",Awarded,2023-11-30T16:31:49Z,"Contract Supply of Favipiravir (Avigan)","Supply of Favipiravir (Avigan) for clinical trials",,"LS2 7UE","Any region","33651400 ","D Griffith",ccsinbox@dhsc.gov.uk,"Quarry House",,Leeds,"LS2 7UE","West Yorkshire",,,"Conditions of Contract DHSC and IPS FINAL SIGNED 10022022 - REDACTED.pdf ",,,10/02/2022,11/04/2022,31/12/2021,NO,,No,No,No,Products,75840,75840,10/02/2022,75840,"[Integrated Pharmaceutical Services (IPS) Ltd (Do not use)|41 Central Avenue KT8 2QZ|NONE||Yes|No]",,10/02/2022,11/04/2022,"SingleTenderActionNonOJEU ",,12:00
RM6269,Contract,"Crown Commercial Service",Awarded,2022-02-28T10:03:40Z,"Restructuring and Insolvency","RM6269 - Restructuring and Insolvency is a framework agreement for the Provision of objective advice in relation to corporate restructuring and insolvency. It is available for use by UK public sector bodies and future successor organisations, which includes Central Government Departments and their arm's length bodies and agencies, the wider public sector and third sector including, but not limited to, local government, health, education, police, fire and rescue, housing associations and charities. This framework agreement is a new offering from CCS and it is intended that this commercial agreement will be the recommended vehicle for all restructuring and insolvency services required by UK Central Government Departments. Services will be delivered primarily within the United Kingdom, with some limited requirements overseas.",,,"United Kingdom","66171000 ","The minister for the cabinet office acting through Crown Commercial Service",Supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street",,Liverpool,"L3 9PP",England,"'+44 3450103503",https://www.gov.uk/government/organisations/crown-commercial-service,"Redacted Framework Agreement Documents.zip Contract Notice Transparency Information for Crown Commercial Service Framework Contract (3).docx RM6269 Successful Supplier Information.xlsx RM6269 Authorised Customer List for Contract Notice (2) (1).docx ","https://www.find-tender.service.gov.uk/Notice/005349-2022 ",,08/02/2022,07/02/2026,12/11/2021,NO,,Yes,No,No,Services,120000000,,08/02/2022,120000000,"[A list of successful suppliers can be found in the attachments a|A list of successful suppliers can be found in the attachments area|NONE_OTHER||No|No]",,08/02/2022,07/02/2026,"OpenOJEU ",,15:00
"CS22074 - Data Engineer",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2023-11-17T16:22:20Z,"CS22074 - Data Engineer","***This is an award notice, not a call for competition***

Requirement was sourced via Crown Commercial Services Framework  Non Clinical Temporary and Fixed Term staff to provide UK Research and Innovation the temporary provision of a Data Engineer.",,"SN2 1FL",,"79620000 ",,coreservices@uksbs.co.uk,"North Star House,North Star Avenue",,SWINDON,SN21FF,England,,www.uksbs.co.uk,"CS22074 - Contract (Redacted).pdf RM6277 Variation - CS22074-004 - Fully Signed_redacted.pdf ",,,21/02/2022,31/03/2024,07/02/2022,NO,,No,No,No,Services,352590,,07/02/2022,352590,"[PRECISION RESOURCE GROUP LIMITED|61 Queen Square, Bristol, United Kingdom, BS1 4JZ|COMPANIES_HOUSE|09573050|No|No][Talent International|7th Floor,
9 Colmore Row, 
Birmingham,
B3 2BJ|NONE_OTHER||Yes|No]",,21/02/2022,31/03/2024,"CallOffFromFrameworkAgreement ",,16:00
CF-1939900D0O000000rwimUAA,Contract,"East & North Hertfordshire NHS Trust",Awarded,2023-10-16T11:42:11+01:00,"ENHT - AE (Fire)","Provision of Authorised Engineer Services (Fire) for East & North Hertfordshire NHS Trust.",,"SG1 4AB","United Kingdom","79417000 ","Georgina Stanmore",georgina.stanmore@nhs.net,"Fretherne Road",,"Welwyn Garden City","AL8 6NS","United Kingdom",01707356165,,,,"Direct Award via SBS Construction Consultancy Services 2 (SBS/17/NH/PZR/9256 LOT 11)",21/02/2022,20/02/2025,08/02/2022,NO,,No,No,No,NotApplicable,60000,70000,09/02/2022,65000,"[TETRA TECH LIMITED|3 Sovereign Square, Sovereign Street LS1 4ER|NONE||No|No]",,21/02/2022,20/02/2025,"CallOffFromFrameworkAgreement ",,12:00
BIP809211832,Contract,"Financial Services Compensation Scheme",Awarded,2023-09-14T13:45:04+01:00,"Managed Training Services","***AWARDED VIA ESPO FRAMEWORK (MANAGED TRAINING SERVICES Framework 383_21 - Lot **** Managed Service Provider who o can deliver access to learning and development opportunities to support and collaborate with the in-house team of HR professionals (The People Team).",,,London,"80500000 ",,jean.mutudza@fscs.org.uk,"Beaufort House","15 St. Botolph Street",London,"EC3A 7QU",UK,'+442073758175,,,"https://www.delta-esourcing.com/delta/respondToList.html?noticeId=809211832 ",,14/08/2022,06/02/2026,08/02/2022,NO,,Yes,Yes,No,Services,400000,,08/02/2022,400000,"[Premier People Solutions Ltd t/a Premier Partnership|3 Sidings Court
        Richmond Business Park
        Doncaster
        DN4 5NL|NONE||Yes|No]",,14/08/2022,06/02/2026,"Restricted ",,00:00
CF-1856100D0O000000rwimUAA,Contract,"Health Education England",Awarded,2023-09-12T14:27:49+01:00,"NHS Education Contract with Yeovil College","Funding for the education and training of the health and social care workforce.",,"LS1 4PL","United Kingdom","80000000 ","Commercial Team",england.workforcecommercialcontracts@nhs.net,"Duncombe Street",,Leeds,"LS1 4PL","United Kingdom",,,"Redacted NHS Education Contract - April 2021-March 2024 - Yeovil College (002).pdf ",,,01/04/2021,31/03/2024,31/03/2021,NO,,No,No,No,Services,80000,80000,11/02/2022,80000,"[Yeovil College|Mudford Road BA21 4DR|NONE||No|No]",,01/04/2021,31/03/2024,"Other ",,12:00
