"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
RM6263,Contract,"Crown Commercial Service",Awarded,2022-04-06T17:14:05+01:00,"RM6263 Digital Specialist and Programmes","Crown Commercial Service (CCS) as the Authority has put in place a Pan Government Collaborative Agreement for the provision of Digital, Data and Technology (DDaT) specialists and facilitate large-scale digital transformation programmes to be utilised by Central Government Departments and all other UK Public Sector Bodies, including Local Authorities, Health, Police, Fire and Rescue, Education and Devolved Administrations.

The lotting structure of this framework is as follows:
Lot 1 - Digital Programmes
Lot 2 - Digital Specialists",,,"United Kingdom","72000000 ","The Minister for the Cabinet Office acting through Crown Commercial Service",supplier@crowncommercial.gov.uk,"9th Floor, The Capital, Old Hall Street",,Liverpool,"L3 9PP","United Kingdom","'+44 3150103503",https://www.gov.uk/ccs,"RM6263 Successful Suppliers.xlsx RM6263 Redacted FWA-20220401T102118Z-001.zip Contract Notice Transparency Information for Crown Commercial Service Framework Contract (1).docx RM6263 Customer List.docx ","https://www.find-tender.service.gov.uk/Notice/009301-2022 ","The start date of this Framework Agreement is 21/03/2022. The expiry date of the Framework Agreement is 20/03/2024. The initial duration of the Framework is 2 years, with an option to extend for 12 months plus additional 12 months.
The optional extension has been utilised and the end date of this framework is now 07/03/2025.",21/03/2022,07/03/2025,16/11/2021,NO,,Yes,No,No,Services,4000000000,,21/03/2022,4000000000,"[A list of successful suppliers can be found in the attachments a|A list of successful suppliers can be found in the attachments area|NONE_OTHER||No|No]",,21/03/2022,07/03/2025,"OpenOJEU ",,12:00
"UK SBS UKRI CS22167 RM6160 Lead Test Engineer",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2024-04-16T11:29:33+01:00,"CS22167 RM6160 Lead Test Engineer","***Please note this is an award notice, not a call for competition*** UK Research and Innovation have a requirement to bring in a Lead Test Engineer. This has been sourced via direct award against CCS RM6160 Non Clinical Temporary and Fixed Term Staff Framework.",,,"United Kingdom","79620000 ",,coreservices@uksbs.co.uk,"Polaris House","North Star Avenue",SWINDON,SN21FF,England,,www.uksbs.co.uk,"CS22167 - RM6160 Order Form - Countersigned - REDACTED Final.pdf CS22167-001 - Contract (Redacted).pdf Hays - RM6160 - CS22167-002_redacted.pdf RM6277 Variation - CS22167-003 - Fully Signed_redacted.pdf ",,,28/03/2022,31/03/2025,22/03/2022,NO,,Yes,No,No,Services,433056.71,,22/03/2022,433056.71,"[HAYS SPECIALIST RECRUITMENT LIMITED|2Nd Floor Alan House
NW1 2AF
GB|COMPANIES_HOUSE|00975677|Yes|No]",,28/03/2022,31/03/2025,"CallOffFromFrameworkAgreement ",,12:00
tender_285670/1054356,Contract,"Department for Education",Awarded,2023-06-02T15:01:41+01:00,"Free Schools Support Service","The Department for Education has awarded service contract for the provision of Free School Support Service.
The free school programme plays an important role in helping to deliver new, high-quality places of all types where they are needed most. Following the Spending Review, work is ongoing on a future programme and in due course, we will set out plans for delivering further special and AP free schools as part of the new investment of £2.6bn between 2022 and 2025, as well as for further mainstream schools.
It is expected that there will be a need for an external support service to include the following:
- Generate interest in new applications via the DfE-led free school application process, supporting groups to submit high-quality applications and providing support to applicant groups throughout the department&apos;s application and assessment process.
- Deliver a small number of free school information events on behalf of the Department for Education.",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West","80000000 ",,bea.bell@education.gov.uk,"Sanctuary Bld, Great Smith Stret",,London,"SW1P 3BT",England,,,"Free Schools Support Service - final for signature  - Redacted version.pdf ",,,01/04/2022,31/03/2025,25/01/2022,NO,,Yes,Yes,No,Services,1923190,,23/03/2022,1923190,"[Premier Advisory Group (PAG)|Eastlands Court Business Centre, St Peters Road, Rugby, CV21 3QP|NONE_OTHER||No|No]",,01/04/2022,31/03/2025,"OpenOJEU ",,12:00
tender_291937/1057717,Contract,"Department for Work and Pensions",Awarded,2022-04-01T09:46:00+01:00,"Project_24625 - VMWare ELA 2022-24","VMWare software licenses to support;
1. Mobile Device Management (MDM) WorkSpaceOne software (& support) deployed to manage the mobile devices in a secure and controlled manner i.e. iPhones used by DWP staff and; 
2. Hybrid Cloud Services (HCS)  - software providing virtual computers/clusters to support a securely connected end-to-end 'multi-cloud' hosted service for DWP's Product Development Units 

The total contract value is £5,255,457 which includes the two year initial term plus the 12 month extension provision",,,"Any region","48517000 ",,MANCHESTERCORPORATEHUB.SOFTWARECOMMERCIALTEAM@DWP.GOV.UK,"Two St Peter&apos;s Square",,Manchester,"M2 3AA",England,1,,"Order-form-Project 24625 VMWare v1.0 REDACTED.pdf ",,,29/03/2022,28/03/2024,25/02/2022,NO,,Yes,No,No,Products,3503637.66,,18/03/2022,5255457,"[Bytes Software Services Limited|Bytes House, Randalls Way, Leatherhead,  KT22 7TW|COMPANIES_HOUSE|01616977|No|No]",,29/03/2022,28/03/2024,"CallOffFromFrameworkAgreement ",,17:00
"TAF EP Additional Project 3",Contract,"ABT BRITAIN LIMITED",Awarded,2024-02-09T14:53:25Z,"Analytical support to the Ministry of Energy","This project provides Ministry of Energy of Ukraine with required additional capacity to react on the increasing number of issues and solve all tasks related to the existing and potential consequences of the Russian invasion as well as to perform proactive communication with international partners. The expected outputs are:
•	Position on the international laws, treaties and legislation which were harassed following the Russian armed forces occupied Ukrainian nuclear power plants 
•	Assistance in drafting talking points for the meeting of the deputy minister of energy with OECD and IEA",,,Ukraine,"73000000 ","Zuzanna Pogorzelska",zuzanna.pogorzelska@abtbritain.co.uk,"1 Chamberlain Square",,BIRMINGHAM,SE12RD,England,"'+44 (0)20 3874 3440",,,,,24/03/2022,31/03/2022,20/03/2022,NO,,Yes,Yes,No,Services,4900,,21/03/2022,4900,"[KPMG Ukraine LTD|32/2, Moskovska St., Kyiv, 01010, Ukraine|NONE_OTHER||No|No]",,24/03/2022,31/03/2022,"SingleTenderActionNonOJEU ",,18:00
"TAF EP Additional Project 1",Contract,"ABT BRITAIN LIMITED",Awarded,2024-02-09T14:53:08Z,"Initial stage of economic assessment of Ukraine","The project is aimed at contributing to the initial stage of the discussion on rebuilding Ukraine's economic resilience to prevent people's suffering and deepening the poverty trap for an increasing number of vulnerable Ukrainian citizens. After the Russian invasion of Ukraine all economic positions, economy structures and the rules of the game on all levels have changed dramatically. The assets were damaged or destroyed, the exports and imports diminished, the human capital lost constituted millions of people to war and migration, size of vulnerable groups increased dramatically, and humanitarian needs skyrocketed. The expected output results are as follows:
•	A research brief on the rapid economic assessment
•	Presentation of the findings of the brief
•	Opinion editorials, articles and comments in the media",,,Ukraine,"73000000 ","Zuzanna Pogorzelska",zuzanna.pogorzelska@abtbritain.co.uk,"1 Chamberlain Square",,BIRMINGHAM,SE12RD,England,"'+44 (0)20 3874 3440",,,,,22/03/2022,31/03/2022,15/03/2022,NO,,Yes,Yes,No,Services,5000,,18/03/2022,5000,"[Centre for Economic Strategy|02000, 36D Saksaganskoho street, Kyiv, Ukraine|NONE_OTHER||Yes|No]",,22/03/2022,31/03/2022,"SingleTenderActionNonOJEU ",,18:00
2492-2022,Contract,"ABT BRITAIN LIMITED",Awarded,2024-02-09T14:53:00Z,"Procurement of medicines for the Ministry of Health of Ukraine","TAF EP is aimed to support Ministry of Health of Ukraine with procurement and delivery of medicines for the war-affected regions hospitals.  The relevant needs assessment is conducted by the State Enterprise Medical Procurement of Ukraine under the Ministry of Health of Ukraine.",,,Ukraine,"73000000 ","Zuzanna Pogorzelska",zuzanna.pogorzelska@abtbritain.co.uk,"1 Chamberlain Square",,BIRMINGHAM,SE12RD,England,"'+44 (0)20 3874 3440",,,,,23/03/2022,31/03/2022,15/03/2022,NO,,Yes,Yes,No,Products,59821,,20/03/2022,59821,"[All-Ukrainian Network of People Living with HIV/AIDS|87-A Mezhygirska Str., letter V, Podil district, 04080, Kyiv, Ukraine|NONE_OTHER||Yes|No]",,23/03/2022,31/03/2022,"SingleTenderActionNonOJEU ",,18:00
SC-1220-24-TH,Contract,"Coventry University",Awarded,2024-02-03T14:17:54Z,"Glide Internet Services","Glide Contract Extension - Internet",,"CV1 5FB",,"48000000 ",,bux280@coventry.ac.uk,"Priory Street",,COVENTRY,CV15FB,England,,,,,,31/07/2017,31/08/2024,30/06/2017,NO,,No,No,No,Services,85496.4,,22/03/2022,85496.4,"[Glide Student Residential Ltd|Unit 1 Rivermead Court Kenn Business Park Windmill Road Kenn,|NONE_OTHER||No|No]",,31/07/2017,31/08/2024,"SingleTenderActionNonOJEU ",,12:00
HEY/22/283,Contract,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",Awarded,2023-12-29T14:23:41Z,"Post Registration Accredited Programmes for York St John University","This notice is being posted to inform of an award of a contract to York St John University for post registration accredited programmes.",,,"Yorkshire and The Humber","80430000 ","Marcus Raw",marcus.raw@nhs.net,"HULL ROYAL INFIRMARY",,HULL,HU32JZ,England,01482608735,,,,,24/03/2022,24/03/2022,22/03/2022,NO,,Yes,No,No,Services,100000,,23/03/2022,100000,"[YORK ST JOHN UNIVERSITY|Lord Mayors Walk
YORK
North Yorkshire
YO31 7EX
GB|COMPANIES_HOUSE|04498683|Yes|No]",,24/03/2022,24/03/2022,"Other Direct award",,17:00
HEY/22/159,Contract,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",Awarded,2023-12-29T14:07:35Z,"Post Registration Accredited Modules","This notice is being posted to inform of an award of a contract to the University of Hull for post registration accredited modules.",,,"Yorkshire and The Humber","80430000 ","Marcus Raw",marcus.raw@nhs.net,"HULL ROYAL INFIRMARY",,HULL,HU32JZ,England,01482608735,,,,,21/03/2022,21/03/2022,17/03/2022,NO,,Yes,No,No,Services,301315,,18/03/2022,301315,"[University of Hull|Cottingham Road
HULL
East Yorkshire
HU6 7RX
GB|NONE_PARTNERSHIP||Yes|No]",,21/03/2022,21/03/2022,"Other Direct Award",,17:00
