"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"PS21114 - Industrial Decarbonisation Challenge Evaluation",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2022-02-21T14:02:36Z,"PS21114 - Industrial Decarbonisation Challenge Evaluation","** THIS TENDER IS CLOSED **

Award of contract via the CCS DPS Agreement RM6018 via further competition.

DO NOT apply directly to the buyer. All tender information MUST be submitted through the Delta eSourcing Portal.

The scope of the evaluation overall is to assess the extent to which the Industrial Decarbonisation Challenge is on track to make, or has made impacts, taking into account its original aims, and the outcome and benefits. It will assess the extent to which the programme is on track to create, or has created, the stimulus required to design and prove integrative local system business models at adequate scale in the real world without risking lock-in to unpredictable pathways.  It will also evaluate how local effects may also lead to nation-wide benefits, and that learnings are harnessed into effective investments, policies and regulations over time.",,"SN2 1FL",,"73200000 79300000 ",,victoria.clewer@uksbs.co.uk,"Polaris House, North Star Avenue",,SWINDON,SN21FF,England,"01793 867465",,,,,03/01/2022,31/05/2024,11/10/2021,NO,,Yes,No,No,Services,0,300000,17/01/2022,300000,"[Market & Opinion Research International Limited t/a Ipsos MO|3 Thomas More Square
London 
E1W 1YW|COMPANIES_HOUSE|00948470|No|No]",,03/01/2022,29/03/2024,"CallOffFromDynamicPurchasingSystem ",,11:00
DR392870021,Contract,"East Riding of Yorkshire Council",Awarded,2024-02-23T10:29:23Z,"Contract for Short Breaks","A contract to provide a service for children and young people (CYP) who require specialised support over a specific period of time.",,,"Yorkshire and The Humber","85000000 ","Rose Tanser",rose.tanser@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,"01482 392228",,,,,17/01/2022,14/08/2024,10/01/2022,NO,,Yes,Yes,No,Services,45370,,14/01/2022,45370,"[Endorphins Group Ltd|20 Cow Green
Halifax
West Yorkshire
United Kingdom
HX1 1HX|COMPANIES_HOUSE|11934523|Yes|No]",,17/01/2022,14/08/2024,"CallOffFromDynamicPurchasingSystem ",,12:00
DR392909554,Contract,"East Riding of Yorkshire Council",Awarded,2024-02-23T10:17:45Z,"Contract for Short Breaks","A contract to provide a service for children and young people (CYP) who require specialised support over a specific period of time.",,,"Yorkshire and The Humber","85000000 ","Rose Tanser",rose.tanser@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,"01482 392228",,,,,18/01/2022,16/08/2030,10/01/2022,NO,,Yes,Yes,No,Services,109116,,15/01/2022,109116,"[Care Precious Ltd.|Caremark (East Riding)
Unit 4
Priory Court
Saxon Way
Hessle
East Yorkshire
HU13 9PB|COMPANIES_HOUSE|06859130|Yes|No]",,18/01/2022,16/08/2030,"CallOffFromDynamicPurchasingSystem ",,12:00
tender_290843/1043402,Contract,"Department for Work and Pensions",Awarded,2022-02-24T14:15:07Z,"RM6068 - TePAS - DWP - SPLUNK Software","DWP requires a software tool to provide their data and analytics monitoring capability",,,"Any region","48000000 ","Jo Young",joanne.young4@dwp.gov.uk,"2 st petersquare",,manchester,"M2 3AA",England,,,"220113_REDACTED - v1.0_Softcat_Framework Schedule 6_Order Form For Splunk Jan22-23.pdf ",,,31/01/2022,31/01/2026,10/12/2021,NO,,Yes,Yes,No,Services,11836121.52,,17/01/2022,4164742,"[Softcat PLC|Solar House,  Fieldhouse Lane,  Marlow. SL71LW|NONE_OTHER||No|No]",,31/01/2022,31/01/2026,"CallOffFromFrameworkAgreement ",,12:00
WARRINGTONLIVE001-DN570107-35634528,Contract,"Warrington Borough Council",Awarded,2024-02-12T13:52:05Z,"Body Removal Service for H M Coroner for Cheshire","Service to collect bodies treated as sudden deaths and to transport them to mortuaries identified by the HM Coroner for Cheshire.

The service will work with the Coroner or his representatives and police to collect a body within the 90 minute prescribed timeframe and deliver to the mortuary stated on the case.

The Service will operate within the boundaries of Cheshire but transport may be to sites outside the county boundaries as needed.",,,England,"98370000 ","Kathy Lang",klang@warrington.gov.uk,"New Town House","Buttermarket Street",Warrington,"WA1 2NH","United Kingdom","'+44 1925443905",http://www.warrington.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=fef5b09f-0317-ec11-810e-005056b64545 ",,28/02/2022,27/02/2025,18/10/2021,YES,WARRINGTONLIVE001-DN570107-75941032,Yes,No,No,Services,600000,600000,13/01/2022,600000,"[Bate & Holland Funeral Services Ltd|WA10 3UB|NONE||Yes|No]",,28/02/2022,27/02/2025,"Open ",,23:59
"GEN_21_14 ERP - Financial  Accountancy & Professional Service",Contract,"National Audit Office",Awarded,2022-02-16T15:38:56Z,"Financial Force contract","The supply of Financial force services contract with Certinia (formerly FinancialForce) has run for an initial 2 years from Monday 31st January 2022 until Tuesday 30th January 2024 with an optional extension period of 2 periods of up to 12 months each until Friday 30th January 2026.

As of January 2024, it was agreed to extend the contract with Certinia (formerly FinancialForce)  for 12 months from Wednesday 31st January 2024 until Thursday 30th January 2025.",,"SW1W 9SP",,"48443000 ","Tania Khan",NAO.Procurement@nao.org.uk,"157-197 Buckingham Palace Road",,LONDON,SW1W9SP,England,02077987000,,,,,31/01/2022,30/01/2026,30/12/2021,NO,,Yes,No,No,Services,744000,123603408,15/01/2022,1236034.08,"[FINANCIALFORCE.COM UK BRANCH|Cardale Park,Beckwith Head Road
HARROGATE
North Yorkshire
HG3 1RY
GB|COMPANIES_HOUSE|FC032383|Yes|No]",,31/01/2022,30/01/2026,"CallOffFromFrameworkAgreement ",,17:00
CF-1296400D0O000000rwimUAA,Contract,"NHS England",Awarded,2024-01-31T14:45:43Z,"Needs Assessment Service for the NHS Innovation Service","The Needs Assessment Service will add value by giving a first review of all submitted innovations to normalise data quality and suggest which organisations are best placed to support.",,"LS2 7UE",England,"73000000 ","Julian Farley - Procurement Lead",Julian.Farley@nhs.net,"Wellington House, 133-135 Waterloo Road",,London,"SE1 8UG",England,,,"C60650_Contract Variation_Wessex MSA_AHSN_Innovation Service Needs Assessment_v1.0 REDACTED.pdf ",,,01/09/2021,31/03/2024,20/08/2021,NO,,No,No,No,NotApplicable,240000,240000,14/01/2022,240000,"[(DUPLICATE) Wessex Academic Health Science Network (AHSN)|Innovation Centre, Science Park, 2 Venture Road, Chilworth SO16 7NP|NONE||No|No]",,01/09/2021,31/03/2024,"CallOffFromFrameworkAgreement ",,12:00
PROC-359-2022,Contract,"COMPETITION AND MARKETS AUTHORITY",Awarded,2022-02-15T16:49:27Z,"Access to Software Enabling Sharing of Board Papers","Provision of access to a software programme enabling CMA to effectively distribute papers to panel members, board members etc.",,,"United Kingdom","48100000 ",Commercial,commercial@cma.gov.uk,"The Cabot","25 Cabot Square",LONDON,"E14 4QZ",England,02037386864,,"G-cloud 12 Call-off contract 11-02-22 Competition and Markets Authority_Redacted.pdf ",,,23/01/2022,22/01/2025,10/01/2022,NO,,Yes,No,No,Services,42845.67,,18/01/2022,42845.67,"[DILIGENT BOARDBOOKS LTD|69-73 Theobalds Road
LONDON
WC1X 8TA
GB|COMPANIES_HOUSE|6029195|No|No]",,23/01/2022,22/01/2025,"CallOffFromDynamicPurchasingSystem ",,17:00
C-2383,Contract,"National Audit Office",Awarded,2022-04-21T14:24:47+01:00,"Direct Access resolution","Supply, installation and support of Celestix Direct Access solution",,"SW1W 9SP",,"48730000 ","Tania Khan",NAO.Procurement@nao.org.uk,"157-197 Buckingham Palace Road",,LONDON,SW1W9SP,England,02077987000,,,,,07/02/2022,30/06/2023,07/01/2022,NO,,Yes,No,No,Products,44000,52800,14/01/2022,52800,"[CDW LIMITED|3rd Floor,One New Change
LONDON
EC4M 9AF
GB|COMPANIES_HOUSE|02465350|Yes|No]",,07/02/2022,30/06/2023,"CallOffFromFrameworkAgreement ",,17:00
EXET002-DN707497-53801331,Contract,"Exeter City Council",Awarded,2024-01-18T11:14:52Z,"PR272021 - Insurance Cover","Provision of insurance cover for council portfolio.",,,England,"66000000 ","Chanelle Busby",Chanelle.Busby@exeter.gov.uk,"Civic Centre","Paris Street",Exeter,"EX1 1JN","United Kingdom","'+44 1392265262",https://exeter.gov.uk/,,,,01/04/2022,31/03/2025,10/12/2021,NO,,No,No,No,Services,2500000,2500000,17/01/2022,2300376,"[Zurich Municipal|Zurich House
1 Gladiator Way
Farnborough
Hampshire
GU14 6GB|NONE||No|No]",,01/04/2022,31/03/2025,"Other ",,12:00
