"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
HMLR700609,Contract,"HM Land Registry",Awarded,2023-07-05T12:56:09+01:00,"Utilities Metering and Bureau Services","Utilities Metering and Bureau Services",,,"England,Wales","71314200 ",,Atheer.Qassim@landregistry.gov.uk,"Trafalgar House","1 Bedford Park",Croydon,"CR0 2AQ",England,,,,,"Notice updated to reflect 1st year extension (2024/25)",02/05/2022,01/05/2025,04/04/2022,NO,,No,No,No,Services,40000,99000,18/04/2022,99000,"[STARK SOFTWARE INTERNATIONAL LTD.|Sentinel House,10-12 Massetts Road
HORLEY
Surrey
RH6 7DE
GB|COMPANIES_HOUSE|02911704|Yes|No]",,02/05/2022,01/05/2025,"CallOffFromFrameworkAgreement ",,17:00
DDaT22052,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2022-06-17T13:25:40+01:00,"UKRI Funding Service user-centred design support","A contract has been sourced and awarded through the Digital Outcomes and Specialists 5 framework (RM1043.7) following a competitive procedure.",,"SN2 1FL",,"72200000 ",,DdatProcurement@uksbs.co.uk,"Polaris House,North Star Avenue",,SWINDON,"SN2 1FL",England,,,,,,16/05/2022,15/05/2024,21/02/2022,NO,,Yes,No,No,Services,2991000,,21/04/2022,2058000,"[METHODS BUSINESS AND DIGITAL TECHNOLOGY LIMITED|Saffron House,6-10 Kirby Street
LONDON
EC1N 8TS
GB|COMPANIES_HOUSE|02485577|No|No]",,16/05/2022,15/05/2024,"CallOffFromFrameworkAgreement ",,00:00
CCMA22A02,Contract,"Crown Commercial Service",Awarded,2022-04-20T13:25:23+01:00,"Provision of Support for Delivery of Marketing Campaigns","The Contracting Authority are seeking proposals for support on the delivery of a number of marketing campaigns throughout 2022/23 and 2023/24. The main objectives of the marketing campaigns are to build brand awareness, position CCS as thought leaders.",,,"North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Scotland,Wales","79340000 ","Crown Commercial Service on behalf of Crown Commercial Service : Cabinet Office",supplier@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"CCMA22A02- Call Off Award Letter v1.0 REDACTED.docx CCMA22A02- Contract Call Off Order Form v1.1 REDACTED.odt CCMA22A02-1 - Contract Change Notice - Redacted (1).docx ",,,19/04/2022,18/04/2025,15/03/2022,NO,,No,No,No,Services,750000,,13/04/2022,750000,"[AGENT MARKETING LIMITED|43 Jordan Street L1 0BW Liverpool GBR|NONE||Yes|No]",,19/04/2022,18/04/2025,"CallOffFromFrameworkAgreement ",,00:00
20240313151140-103835,Contract,"Barnsley Metropolitan Borough Council",Awarded,2024-03-13T15:11:47Z,"General Civil/Highways and Specialist","PSSC Contract Call Off Midlands Highway Alliance partnership for the provision of temporary staff.",,"S71 1NL","Any region","79600000 ","Lauren  Hill",laurenhill@barnsley.gov.uk,"Town Hall",,"Barnsley, South Yorkshire","S70 2TA",ENG,"'+44 0126000000",https://www.barnsley.gov.uk,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=79415&B=UK https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/103835 ",,21/04/2022,22/04/2022,20/04/2022,NO,,Yes,No,No,Services,0,99017.14,20/04/2022,99017.14,"[Waterman Aspen|1st Floor, French's Gate 18-22 Springfield Road Ch
CM2 6FA|NONE||No|No]",,20/04/2022,23/08/2024,"DirectAward ",,00:00
CF-2172800D0O000000rwimUAA,Contract,"Care Quality Commission",Awarded,2024-02-14T11:07:37Z,"Extension to Finance System Design & Implementation Partner Call-Off Contract","This is a Contract Extension Award Notice publication relating to the existing contract for the appointment of an Implementation Partner to design, develop and deliver an in-house Microsoft Dynamics 365-based Finance System solution which will support the end-to-end capabilities of CQC's Finance Business Processes and user journeys.

The original procurement was undertaken through the CCS RM1557.12 G-Cloud 12 Framework following a Direct Award process.

The contract has been extended to 30 June 2024

This notice is supplementary to the following Contracts Finder notice: https://www.contractsfinder.service.gov.uk/Notice/92b70702-bec2-4d20-98d7-a107c9f095bd

The original Contracts Finder award notice can be accessed via: https://www.contractsfinder.service.gov.uk/Notice/e93f68f7-8a9e-4cd2-ae29-10a7e68f4e6a  

Total maximum award value is the maximum of all charges including all optional extensions.

Contract Reference: CQC RCCO 006",,,England,"72000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Citygate, Gallowgate",,"Newcastle upon Tyne","NE1 4PA",England,,,"CQC RCCO 006 Variation Agreement 2024_Redacted.pdf ",,,26/01/2022,25/01/2024,30/11/2021,NO,,No,No,No,Services,1178460,,21/04/2022,1178460,"[Tisski Ltd|Unit 1a - 1b Millennium Way, Pride Park DE24 8HZ|NONE||Yes|No]",,26/01/2022,25/01/2024,"CallOffFromFrameworkAgreement ",,12:00
CF-2172600D0O000000rwimUAA,Contract,"Care Quality Commission",Awarded,2024-02-14T10:51:54Z,"Extension to Finance System Design & Implementation Partner Call-Off Contract","This is a retrospective Contract Extension Award Notice publication relating to the existing contract for the appointment of an Implementation Partner to design, develop and deliver an in-house Microsoft Dynamics 365-based Finance System solution which will support the end-to-end capabilities of CQC's Finance Business Processes and user journeys.

The original procurement was undertaken through the CCS RM1557.12 G-Cloud 12 Framework following a Direct Award process.

The contract was extended in accordance with the optional extension provision from its original expiry date of 25 July 2023 to 25 January 2024

The original Contracts Finder award notice can be accessed via: https://www.contractsfinder.service.gov.uk/Notice/e93f68f7-8a9e-4cd2-ae29-10a7e68f4e6a  

Total maximum award value is the maximum of all charges including all optional extensions.

Contract Reference: CQC RCCO 006",,,England,"72000000 ","Commercial and Contracts Team",commercialcontracts@cqc.org.uk,"Citygate, Gallowgate",,"Newcastle upon Tyne","NE1 4PA",England,,,"CQC RCCO 006 - Variation Agreement 2023 (Redacted).pdf ",,,26/01/2022,25/01/2024,30/11/2021,NO,,No,No,No,Services,1178460,,21/04/2022,1178460,"[Tisski Ltd|Unit 1a - 1b Millennium Way, Pride Park DE24 8HZ|NONE||Yes|No]",,26/01/2022,25/01/2024,"CallOffFromFrameworkAgreement ",,12:00
TNA460,Contract,"The National Archives",Awarded,2022-04-29T10:26:11+01:00,"Optimus Annual Software Maintenance","To procure renewal of an existing maintenance agreement for Optimus Management Information Systems for the period 01.05.2022 - 30.04.2025",,TW94DU,,"30000000 72000000 ",,itfp@nationalarchives.gov.uk,"RUSKIN AVENUE",,RICHMOND,TW94DU,England,,,"Open Competition Invitation OPTIMUS Annual Software Maintenance.docx Appendix A - Optimus Annual Software Support.xlsx Appendix B - Optimus Annual Software Support.xlsx ",,,01/05/2022,30/04/2025,01/04/2022,NO,,Yes,No,No,Services,37126.98,,19/04/2022,37126.98,"[OPTICHROME COMPUTER SYSTEMS LIMITED|98-102 Maybury Road
GU21 5HX
GB|COMPANIES_HOUSE|01608093|No|No]",,01/05/2022,30/04/2025,"OpenNonOJEU ",,17:00
DN698039,Contract,"Hartlepool Borough Council",Awarded,2024-02-05T13:41:14Z,"Tall Ships Event Management","Event management",,"TS24 8AY",,"79952000 ","Emma Armstrong",emma.armstrong@hartlepool.gov.uk,"Civic Centre,Victoria Road",,HARTLEPOOL,TS248AY,England,"01429 523238",,,,,18/04/2022,10/07/2023,17/04/2022,NO,,Yes,No,No,Services,564582,,17/04/2022,564582,"[Richmond Event Management|59 Prince Street, 
Bristol, 
BS1 4QH|COMPANIES_HOUSE|03231614|Yes|No]",,18/04/2022,10/07/2023,"Other Exemption from HBC Contract Procedure rules",,14:00
20240131172031-35572,Contract,"Greater Manchester Combined Authority - Greater Manchester Police",Awarded,2024-01-31T17:20:37Z,"Data Intelligence Gathering Software Tool","A search tool provided as ""Data as a service"" (DaaS) via a single graphical user interface, to assist in locating individuals and gathering intelligence.",,"M11 2NS","Any region","48810000 48812000 ","Alison Harper",Alison.Harper@gmp.police.uk,"Openshaw Complex, Lawton Street, Openshaw",,Manchester,"M11 2NS",ENG,"'+44 1618561140",,,"https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=77751&B=BLUELIGHT https://uk.eu-supply.com/ctm/Company/CompanyInformation/Index/35572 ",,01/05/2022,30/04/2025,01/04/2022,NO,,No,No,No,Services,107000,,18/04/2022,107000,"[Simunix Limited|The IT Centre 
York Science Park 
York 
YO10 5NP|NONE||No|No]",,01/05/2022,30/04/2025,"Other ",,00:00
tender_284183/1065807,Contract,"Department for Work and Pensions",Awarded,2022-04-22T16:39:43+01:00,"Standard Office Furniture 2022","Standard Office Furniture",,,"Any region","39100000 ",,sheryl.browne@dwp.gov.uk,"Hartshead Square",,Sheffield,"S1 2FD",England,,,"Call-Off Schedule 1 - Transparency Reports updated.pdf Call-Off Schedule 11 - Installation Works.pdf Call-Off Schedule 13 - Implementation Plan and Testing.pdf Call-Off Schedule 14 - Service Levels.docx Call-Off Schedule 15 - Call Off Contract Management.pdf Call-Off Schedule 16 - Benchmarking.pdf Call-Off Schedule 2 - Staff Transfer.pdf Call-Off Schedule 20 - Specification.docx Call-Off Schedule 20 - Specification_1.docx Call-Off Schedule 3 - Continuous Improvement.pdf Call-Off Schedule 4 - Call-Off Tender.docx Call-Off Schedule 5  - Pricing Details.docx Call-Off Schedule 7 - Key Supplier Staff.docx Call-Off Schedule 8.pdf Call-Off Schedule 9 - Security.pdf Joint Schedule 1 - Definitions.pdf Joint Schedule 10 - Rectification Plan.docx.pdf Joint Schedule 11 - Processing Data.docx Joint Schedule 12 - Supply Chain Visibility.docx Joint Schedule 2 - Variation Form.docx.pdf Joint Schedule 3 - Insurance Requirements.docx.pdf Joint Schedule 4 - Commercially Sensitive Information.docx Joint Schedule 5 - Corporate Social Responsibility.docx.pdf Joint Schedule 6 - Key Subcontractors.docx.pdf Joint Schedule 7  - Financial Difficulties.docx Joint Schedule 8 - Guarantee.pdf Email files and Jaggaer.pdf User Guidance Note.pdf Contract Management Framework - Key Best Practice Activities.docx Confirmation of Approval - CAD.docx Standard CAD.docx ",,,01/05/2022,30/04/2025,19/11/2021,NO,,Yes,No,No,Products,18000000,,14/04/2022,18000000,"[Southerns Broadstock|TBC|NONE_OTHER||Yes|No]",,01/05/2022,30/04/2025,"CallOffFromFrameworkAgreement ",,18:00
