"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CF-2385700D0O000000rwimUAA,Contract,"London Ambulance Service NHS Trust",Awarded,2024-05-20T16:52:04+01:00,"LAS Pharmacy Technician - PKP","LAS Pharmacy Technician - PKP",,"SE1 8SD","Any region","79620000 ","Julia Crossey",julia.crossey@nhs.net,"220 Waterloo Road",,London,"SE1 8SD",GB,,,,,,12/09/2022,31/01/2023,12/08/2022,NO,,No,No,No,Services,25000,25000,26/02/2022,25000,"[Positive Mental Health LTD|Cannon Green 3rd Floor, 27 Bush Lane EC4R 0AA|NONE||No|No]",,12/09/2022,31/01/2023,"CallOffFromFrameworkAgreement ",,12:00
2122-0418,Contract,"London Borough of Islington",Awarded,2024-01-26T16:32:34Z,"iCase Management System","The current system has also been plagued with technical challenges 
ranging from limitations in the current features associated with different technical issues (Logins, bandwidth constraints, connection drops mostly encountered whilst working from home to slow connection accessing the system remotely. The existing Civica Prescient+ model isn't robust enough to cater for a full remote solution,which has been identified during the recent Covid pandemic. A lot of the users had to come into the office, due to the technical difficulties experienced when trying to access the current Civica solution remotely",,"N1 2UD",,"48100000 72000000 ",,procurement@islington.gov.uk,"Town Hall",,LONDON,"N1 2UD",England,,,,,,28/02/2022,27/02/2026,28/01/2022,NO,,No,No,No,Services,235000,,25/02/2022,235000,"[CIVICA UK LIMITED|Southbank Central, 30 Stamford Street, London, England, SE1 9LQ|COMPANIES_HOUSE|01628868|No|No]",,28/02/2022,27/02/2026,"CallOffFromFrameworkAgreement ",,12:00
CCZN21A98,Contract,"Crown Commercial Service",Awarded,2022-04-08T17:07:35+01:00,"Provision of Workday Licences","In order to continue to provide a Workday service provision to FSET and GCO colleagues and in line with the approved business case a set of",,,"United Kingdom,Isle of Man,Channel Islands","48000000 ","Crown Commercial Service on behalf of Cabinet Office : Cabinet Office",info@crowncommercial.gov.uk,"Floor 9, The Capital Building, Old Hall Street",,Liverpool,"L3 9PP",England,3450103503,https://www.gov.uk/government/organisations/crown-commercial-service,"Workday Contract.docx Workday licences - CCZN21A98 - Contract variation - redacted.docx 2024-02-06 Workday Subscription- Cabinet Office - CCZN21A98 - Contract variation 2_REDACTED.pdf ",,,01/03/2022,28/02/2025,28/02/2022,NO,,No,No,No,Services,1838219.17,,28/02/2022,1838219.17,"[Workday Limited|Third Floor, Fumbally Square, Fumbally Lane Dublin 8 Dublin Ireland|NONE||No|No]",,01/03/2022,28/02/2025,"CallOffFromFrameworkAgreement ",,12:00
PROC-382-2022,Contract,"COMPETITION AND MARKETS AUTHORITY",Awarded,2022-05-24T09:24:30+01:00,"TopDesk Cloud Software","TopDesk Cloud Software",,"E14 4QZ",,"48517000 ","CMA Commercial",commercial@cma.gov.uk,"70 Whitehall",,LONDON,WC1B4AD,England,"020 3738 6000",,,,,28/02/2022,28/02/2025,27/02/2022,NO,,No,No,No,Products,104183.68,,27/02/2022,104183.68,"[BRAMBLE HUB LIMITED|9E Albert Embankment
LONDON
SE1 7SP
GB|COMPANIES_HOUSE|04136381|No|No]",,28/02/2022,28/02/2025,"SingleTenderActionNonOJEU ",,13:00
CF-0866300D0O000000rwimUAA,Contract,"NHS England",Awarded,2024-01-24T14:15:32Z,"Bi-Directional Interface with the Electronic Staff Record_PAM","NHS England and Improvement will provide the funding as outlined below to the supplier, to build the ESR-NHS0067 Occupational Health interface specification provided by ESR. The funding will also cover the cost of implementing the Occupational Health bi-directional interface infrastructure with ESR with identified NHS Trusts. On successful completion, data will be flowing automatically between both ESR and the Third-party system.",,"SE1 8UG",England,"72000000 ","Julian Farley",Julian.Farley@nhs.net,"Skipton House, 80 London Road",,London,"SE1 8UG","United Kingdom",,,"C70625_The provision of Bi-Directional Interface with the Electronic Staff Record_PAM Group_REDACTED.pdf ",,,04/01/2022,31/03/2022,03/01/2022,NO,,Yes,No,No,Services,50790,50790,28/02/2022,50790,"[PEOPLE ASSET MANAGEMENT GROUP LIMITED|Holly House, 73-75 Sankey Street, Warrington WA1 1SL|NONE||Yes|No]",,04/01/2022,31/03/2022,"SingleTenderActionNonOJEU ",,12:00
TD1829,Contract,"DERBY CITY COUNCIL",Awarded,2024-01-22T11:56:56Z,"TD1829- Youth Justice Management Information System","Youth Justice Management Information System",,,"East Midlands","48000000 ",,procurement@derby.gov.uk,"Corporation Street",,Derby,"DE1 2FS",England,,,,,"Option to extend for up to two years",01/03/2022,28/02/2024,28/02/2022,NO,,Yes,No,No,Services,80000,,28/02/2022,80000,"[CACI Limited|W14 8TS|COMPANIES_HOUSE|1649776|No|No]",,01/03/2022,28/02/2024,"Other Framework (Direct Call Off)",,00:00
CF-0671000D0O000000rwimUAA,Contract,"NHS England",Awarded,2024-01-18T13:41:20Z,"Annual Physical Health Checks for Severe Mental Illness patients","This was procured through the SBS Technology Enabled Care Services framework for the Purchase of point of care medical devices (tablet pc, blood anayser and wireless instruments) for the regional programme to increase the uptake of annual physical health checks for patients with severe mental illness as per the national agenda in the midlands region.",,"LS2 7UE",England,"85100000 33141620 ","Leigh Parker",leigh.parker1@nhs.net,"Quarry Hill",,Leeds,"LS2 7UE",GB,,,"Order form Solcom final_Redacted.pdf ",,,01/03/2022,31/03/2022,21/02/2022,NO,,No,No,No,Products,159508,159508,28/02/2022,159508,"[Solcom Limited|Solcom House, 79 George Street, Ryde, Isle of Wight PO33 2JF|NONE||No|No]",,01/03/2022,31/03/2022,"CallOffFromFrameworkAgreement ",,12:00
LEICSCC001-DN447461-23272100,Contract,"Leicestershire County Council",Awarded,2023-12-06T10:28:18Z,"Public Health Community Based Services","Leicestershire County Council and Rutland County Council have undertaken a procurement process to identify and appoint a number of service providers to provide Public Health community-based services.These services are divided into the following four Lots:\r
Lot 1\r
CBS20-21(01) Provision of Smoking Cessation Pharmacotherapy.\r
Lot 2\r
CBS20-21(02) Provision of NHS Health Checks.\r
Lot 3\r
CBS20-21(03) Provision of intrauterine device (IUD), intrauterine system (IUS) and sub-dermal implants (SDI) Fitting and Removal Service for contraceptive purposes and for gynaecological (non-contraceptive) purposes including management of menorrhagia and hormone replacement therapy (HRT).\r
Lot 4\r
CBS20-21(04) Provision of oral Emergency Contraception (EC) to women under 25 years of age.",,,England,"85120000 85142000 85141000 ","Baz Mistry",Baz.Mistry@leics.gov.uk,"County Hall","Leicester Road, Glenfield",Leicester,"LE3 8RA","United Kingdom","'+44 1163055119",https://www.eastmidstenders.org/index.html,,"https://procontract.due-north.com/Advert?advertId=53f6cc24-8d56-ec11-810e-005056b64545 ",,01/04/2022,31/03/2023,10/01/2022,NO,,Yes,Yes,No,Services,3328200,3328200,24/02/2022,3328200,"[Bestway National Chemists Limited & Bestway Panacea Healthca|M3 4lz|NONE||No|No]",,01/04/2022,31/03/2023,"Open ",,14:00
"COV - 13249",Contract,"Coventry City Council",Awarded,2023-12-04T13:45:38Z,"Mains Gas","4 year call-off from ESPO framework 192_32 for mains gas.",,,"West Midlands","09121200 ","Procurement Services",procurement.services@coventry.gov.uk,"Council House,Earl Street",,COVENTRY,CV15RR,England,"024 7683 3758",,,,,01/04/2023,31/03/2027,28/02/2022,NO,,No,No,No,Products,2000000,12000000,28/02/2022,12000000,"[TOTAL GAS & POWER LIMITED|10 Upper Bank Street Canary Wharf
LONDON
E14 5BF
GB|COMPANIES_HOUSE|02172239|No|No]",,01/04/2023,31/03/2027,"CallOffFromFrameworkAgreement ",,12:00
CF-2041900D0O000000rwimUAA,Contract,"Department of Health and Social Care (DHSC)",Awarded,2023-11-30T12:10:03Z,"Contract for The Supply Of Ascorbic Acid","The Supply Of Ascorbic Acid",,"LS2 7UE","Any region","33616000 ","D Griffith",ccsinbox@dhsc.gov.uk,"Quarry House",,Leeds,"LS2 7UE","West Yorkshire",,,"Conditions of Contract _licensed medicines - Ascorbic Acid_Alliance HC -  REDACTED.pdf ",,,24/02/2022,04/08/2022,31/12/2021,NO,,No,No,No,Products,86121,86121,24/02/2022,86121,"[ALLIANCE HEALTHCARE (DISTRIBUTION) LIMITED|43 Cox Lane, Chessington, Surrey KT9 1SN|NONE||No|No]",,24/02/2022,04/08/2022,"SingleTenderActionNonOJEU ",,00:00
