"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"CS22136 - Programme Manager",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2024-05-02T10:49:52+01:00,"CS22136 - Programme Manager","***Please note this is an award notice, not a call for competition***

UK Research and Innovation have a requirement to bring in a Programme Manager. This has been sourced via direct award against CCS RM6277 Non Clinical Temporary and Fixed Term Staff Framework.",,"SN2 1FL",,"79620000 ",,coreservices@uksbs.co.uk,"Polaris House,North Star Avenue",,SWINDON,SN21FF,England,,www.uksbs.co.uk,"CS22136 - Contract (Redacted).pdf CS22136 - 001 - Redacted.pdf CS22136-002 - Contract (Redacted).pdf RM6277 Variation - CS22136-003 - Fully Signed_redacted.pdf ",,,06/04/2022,13/09/2024,04/04/2022,NO,,No,No,No,Services,565987.5,,04/04/2022,565987.5,"[SANDERSON GOVERNMENT AND DEFENCE LIMITED|First Floor, Clifton Down House 54a Whiteladies Road, Clifton, Bristol, England, BS8 2NH|COMPANIES_HOUSE|04546820|No|No]",,06/04/2022,13/09/2024,"CallOffFromFrameworkAgreement ",,16:00
GATC/PCR/AWARD/0016,Contract,"Great Aycliffe Town Council",Awarded,2024-04-10T15:59:18+01:00,"Golf supplies to the Oak Leaf Golf Complex","The supply of various golf shop stocks including balls, tees, shoes, clubs and clothing to the Oak Leaf Golf Complex.  There is no formal contract in place and the Golf Administrator is free to shop around for the best prices, using a variety of suppliers but purchased a large amount of stock from this particular supplier this year.",,"DL5 6QF",,"37471000 ","Tracey Woodhead",tracey.woodhead@great-aycliffe.gov.uk,"Council Offices","School Aycliffe Lane","NEWTON AYCLIFFE","DL5 6QF",England,"01325 300 700",www.great-aycliffe.gov.uk,,,,01/04/2022,31/03/2023,31/03/2022,NO,,Yes,No,No,Products,37842.33,,01/04/2022,37842.33,"[TAYLORMADE GOLF LTD|TaylorMade Golf Ltd,
Viables Business Park,
Jays Close,
Basingstoke,
Hampshire,
RG22 4BS - UK|COMPANIES_HOUSE|01424575|Yes|No]",,01/04/2022,31/03/2023,"OpenNonOJEU ",,00:00
CF-0264900D8d000003VQwdEAG,Contract,"Environment Agency",Awarded,2024-03-20T14:08:56Z,"National Groundwater Modelling Service (NGMS)","National Groundwater Modelling Service (NGMS)",,"B3 1QA","Any region","72212100 ",DEFRA,defra.helpline@defra.gov.uk,"17 Smith Square",,London,"SW1P 3JR",UK,03459335577,,,,,01/04/2022,31/03/2024,31/03/2022,NO,,No,No,No,Services,306000,306000,01/04/2022,306000,"[Stichting Deltares|Rotterdamseweg 185 2629HD|NONE||No|No]",,01/04/2022,31/03/2024,"SingleTenderActionNonOJEU ",,12:00
370E2D79-AA44-427F-965B-606BF7366284,Contract,"London Borough of Haringey",Awarded,2024-03-15T09:42:53Z,"Adaptations - Bathroom adaptations","BATHROOM ADAPTATIONS BATCH 45 This opportunity has been distributed on adamprocure.co.uk",,,"United Kingdom","45000000 ","Emmanuel Lamptey",LCP@haringey.gov.uk,"River Park House","225 High Road",London,"N22 8HQ","United Kingdom",,https://londonconstructionprogramme.co.uk,,"https://www.adamprocure.co.uk ",,15/04/2022,30/06/2022,29/03/2022,NO,,Yes,No,No,Works,50000,50000,01/04/2022,47804,"[ICB GENERAL BUILDING AND CIVIL ENGINEERING LTD|212A Green Street, , Enfield, MIDDLESEX, EN3 7NB|COMPANIES_HOUSE|08338857|No|No]",,15/04/2022,30/06/2022,"RestrictedOJEU ",,23:17
EB162103-C03D-4346-8673-4C3465223BCE,Contract,"London Borough of Haringey",Awarded,2024-03-15T09:42:50Z,"Adaptations - Bathroom adaptations","bathroom adaptations BATCH 44 This opportunity has been distributed on adamprocure.co.uk",,,"United Kingdom","45000000 ","Emmanuel Lamptey",LCP@haringey.gov.uk,"River Park House","225 High Road",London,"N22 8HQ","United Kingdom",,https://londonconstructionprogramme.co.uk,,"https://www.adamprocure.co.uk ",,15/04/2022,30/06/2022,29/03/2022,NO,,Yes,No,No,Works,30000,35000,01/04/2022,44984.1,"[ICB GENERAL BUILDING AND CIVIL ENGINEERING LTD|212A Green Street, , Enfield, MIDDLESEX, EN3 7NB|COMPANIES_HOUSE|08338857|No|No]",,15/04/2022,30/06/2022,"RestrictedOJEU ",,23:00
DR426136403,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T16:15:02Z,"Education of EHCP pupils at Archbishop Sentamu Academy","Education of EHCP pupils at Archbishop Sentamu Academy.",,"HU9 5YB",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,25000,,01/04/2022,25000,"[Archbishop Sentamu Academy|1 Bilton Grove, Hull, HU9 5YB|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425548110,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T16:10:56Z,"Education of EHCP pupils at The Woodlands Academy","Education of EHCP pupils at The Woodlands Academy.",,"YO12 6QN",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,2090485,,01/04/2022,2090485,"[The Woodlands Academy|Woodlands Drive, Scarborough, North Yorkshire, YO12 6QN|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425547424,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T16:06:42Z,"Education of EHCP pupils at Wold Academy","Education of EHCP pupils at Wold Academy.",,"HU5 5QG",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,30000,,01/04/2022,30000,"[Wold Academy|Wold Road, Hull, HU5 5QG|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425546916,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T16:03:46Z,"Education of EHCP pupils at Victoria Dock Primary School","Education of EHCP pupils at Victoria Dock Primary School.",,"HU9 1TL",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,30000,,01/04/2022,30000,"[Victoria Dock Primary School|South Bridge Road, Victoria Dock, Hull, HU9 1TL|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425546438,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T16:00:18Z,"Education of EHCP pupils at Tweendykes School","Education of EHCP pupils at Tweendykes School.",,"HU7 4PW",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,735035,,01/04/2022,735035,"[Tweendykes School|Midmere Avenue, Leads Road, Hull, HU7 4PW|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425545709,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T15:56:47Z,"Education of EHCP pupils at St Thomas More Catholic Academy","Education of EHCP pupils at St Thomas More Catholic Academy.",,"HU4 7NP",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,35000,,01/04/2022,35000,"[St Thomas More Catholic Academy|St Thomas More Rd, East Yorkshire, Hull, HU4 7NP|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425545272,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T15:53:33Z,"Education of EHCP pupils at St Mary Queen of Martyrs VC Academy","Education of EHCP pupils at St Mary Queen of Martyrs VC Academy.",,"HU7 4BS",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,30000,,01/04/2022,30000,"[St Mary Queen of Martyrs VC Academy|Nidderdale, Sutton Park, Hull, HU7 4BS|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425544732,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T15:46:36Z,"Education of EHCP pupils at St Mary's College, Voluntary Catholic Academy","Education of EHCP pupils at St Mary's College, Voluntary Catholic Academy.",,"HU6 7TN",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,170000,,01/04/2022,170000,"[St Mary's College, Voluntary Catholic Academy|Cranbrook Avenue, Hull, HU6 7TN|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425544335,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T15:41:03Z,"Education of EHCP pupils at St Augustine's Catholic School - a Catholic voluntary academy","Education of EHCP pupils at St Augustine's Catholic School - a Catholic voluntary academy.",,"YO12 5LH",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,55000,,01/04/2022,55000,"[St Augustine's Catholic School - a Catholic voluntary acade|Sandybed Lane, Stepney, Scarborough, North Yorkshire, YO12 5LH|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
DR425543947,Contract,"East Riding of Yorkshire Council",Awarded,2024-03-06T15:22:50Z,"Education of EHCP pupils at Springhead School","Education of EHCP pupils at Springhead School.",,"YO12 4HA",,"85000000 ",,childrens.commissioning.team@eastriding.gov.uk,"County Hall,Cross Street",,BEVERLEY,HU179BA,England,,,,,,01/04/2022,31/03/2027,31/03/2022,NO,,Yes,Yes,No,Services,209155,,01/04/2022,209155,"[Springhead School|Barry's Lane, Scarborough, North Yorkshire, YO12 4HA|NONE_OTHER||Yes|No]",,01/04/2022,31/03/2027,"NegotiatedProcedureWithoutPriorPublicationOJEU ",,12:00
